sheet_full	position	overall	nation
Килиан Мбаппе	ПФА	91	Франция
Лионель Месси	ПФА	90	Аргентина
Неймар	ЛФА	88	Бразилия
Карим Бензема	ФРВ	88	Франция
Маркиньос	ЦЗ	87	Бразилия
Джанлуиджи Доннарумма	ВРТ	87	Италия
Усман Дембеле	ПФА	86	Франция
Сергей Милинкович-Савич	ЦП	86	Сербия
Криштиану Роналду	ФРВ	86	Португалия
Рияд Марез	ПФА	86	Алжир
Яссин Буну	ВРТ	85	Марокко
Н'Голо Канте	ЦОП	85	Франция
Садио Мане	ЛП	85	Сенегал
Люка Эрнандез	ЛЗ	84	Франция
Ашраф Хакими	ПЗ	84	Марокко
Луис Суарес	ФРВ	84	Уругвай
Анхель Ди Мария	ПП	84	Аргентина
Калиду Кулибали	ЦЗ	84	Сенегал
Рубен Невеш	ЦОП	84	Португалия
Янник Карраско	ЛФА	84	Бельгия
Витинья	ЦП	83	Португалия
Серхио Бускетс	ЦОП	83	Испания
Эдин Джеко	ФРВ	83	Босния
Рафа Силва	ЦФД	83	Португалия
Диогу Кошта	ВРТ	83	Португалия
Фабиньо	ЦОП	83	Бразилия
Эмерик Лапорт	ЦЗ	83	Испания
Марцело Брозович	ЦОП	83	Хорватия
Брис Самба	ВРТ	82	Франция
Виссам Бен-Йеддер	ФРВ	82	Франция
Кейлор Навас	ВРТ	82	Коста-Рика
Марко Асенсио	ПФА	82	Испания
Рандаль Коло-Муани	ФРВ	82	Франция
Нуну Мендеш	ЛЗ	82	Португалия
Жорди Альба	ЛЗ	82	Испания
Лукас Торрейра	ЦОП	82	Уругвай
Душан Тадич	ЛФА	82	Сербия
Фред	ЦП	82	Бразилия
Доминик Ливакович	ВРТ	82	Хорватия
Николас Отаменди	ЦЗ	82	Аргентина
Оркун Кёкчю	ЦП	82	Турция
Педру Гонсалвеш	ЛФА	82	Португалия
Виктор Гьокереш	ФРВ	82	Швеция
Рикарду Орта	ЦАП	82	Португалия
Малком	ЛФА	82	Бразилия
Отавиу	ЦАП	82	Бразилия
Андерсон Талиска	ЦАП	82	Бразилия
Франк Кессие	ЦОП	82	Кот-Д'Ивуар
Каспер Шмейхель	ВРТ	81	Дания
Тоби Алдервейрельд	ЦЗ	81	Бельгия
Джордан Хендерсон	ЦП	81	Англия
Стивен Бергус	ПФА	81	Нидерланды
