# Ла Лига (esp)
# Источник журнал: /Users/elshimin/PycharmProjects/PythonProject/match_results.json
# Расписание (порядок 1/2): /Users/elshimin/PycharmProjects/PythonProject/mixed_schedule.json
# Отложенные: /Users/elshimin/PycharmProjects/PythonProject/skipped_matches.json (учёт в порядке 1/2, см. merge_skipped)
# Строка = хозяева, столбец = гости

              	Реал	Барселона	Атлетико	Атлетик	Реал Сосьедад	Севилья	Вильярреал	Райо Вальекано	Жирона	Бетис
Реал          	—	x	2	x	x	x	x	2	2	2
Барселона     	2	—	x	x	x	2	2	x	x	x
Атлетико      	x	2	—	x	x	x	x	2	x	x
Атлетик       	2	2	2	—	x	2	1	x	x	2
Реал Сосьедад 	2	2	2	2	—	x	2	x	x	x
Севилья       	2	x	2	x	2	—	x	x	1	x
Вильярреал    	2	x	2	2	x	2	—	x	x	x
Райо Вальекано	x	2	x	2	2	2	2	—	x	x
Жирона        	x	2	2	2	2	2	2	2	—	x
Бетис         	x	2	2	x	2	2	2	2	2	—
