# Бундеслига (ger)
# Источник журнал: /Users/elshimin/PycharmProjects/PythonProject/match_results.json
# Расписание (порядок 1/2): /Users/elshimin/PycharmProjects/PythonProject/mixed_schedule.json
# Отложенные: /Users/elshimin/PycharmProjects/PythonProject/skipped_matches.json (учёт в порядке 1/2, см. merge_skipped)
# Строка = хозяева, столбец = гости

          	Бавария	Дортмунд	Байер	Лейпциг	Франкфурт	Фрайбург	Боруссия М	Вольфсбург	Штутгарт	Хоффенхайм
Бавария   	—	1	2	x	x	x	2	x	x	2
Дортмунд  	2	—	x	x	x	2	x	x	2	x
Байер     	x	2	—	2	2	x	2	x	2	x
Лейпциг   	2	2	x	—	2	1	x	2	x	x
Франкфурт 	2	2	x	x	—	x	x	2	x	x
Фрайбург  	2	x	x	2	x	—	2	x	x	2
Боруссия М	x	2	x	2	2	x	—	x	x	x
Вольфсбург	x	2	2	x	x	2	2	—	x	2
Штутгарт  	2	x	x	2	2	2	2	2	—	x
Хоффенхайм	x	2	2	2	2	x	2	x	2	—
