group_id,person_id_proposed,needs_review,rule,row_key,db,table,row_id,name,team,position,left_team,matches,goals,assists,person_id_current
g0652,869,,existing_person_id,cl:defenders:815,cl,defenders,815,Абдулхамид,Зенит,ПЗ,0,0,0,0,869
g0652,869,,singleton,league:defenders:1112,league,defenders,1112,Абдулхамид,Зенит,ПЗ,0,0,0,0,869
g0559,725,,existing_person_id,cl:defenders:704,cl,defenders,704,Агапов,Цска,ЦЗ,0,0,0,0,725
g0559,725,,singleton,league:defenders:931,league,defenders,931,Агапов,Цска,ЦЗ,0,0,0,0,725
g0716,950,,existing_person_id,cl:goalkeepers:186,cl,goalkeepers,186,Агкацев,Краснодар,ВРТ,1,0,0,0,950
g0716,950,,singleton,league:goalkeepers:240,league,goalkeepers,240,Агкацев,Краснодар,ВРТ,1,0,0,0,950
g0645,859,,existing_person_id,cl:defenders:808,cl,defenders,808,Агуэрд,Франкфурт,ЦЗ,0,0,0,0,859
g0645,859,,singleton,league:defenders:1102,league,defenders,1102,Агуэрд,Франкфурт,ЦЗ,0,0,0,0,859
g0428,552,,existing_person_id,cl:midfielders:802,cl,midfielders,802,Адамс,Атлетико,ЦОП,0,0,0,0,552
g0428,552,,singleton,league:midfielders:1057,league,midfielders,1057,Адамс,Атлетико,ЦОП,0,0,0,0,552
g0749,992,,existing_person_id,cl:goalkeepers:227,cl,goalkeepers,227,Адан,Ювентус,ВРТ,0,0,0,0,992
g0749,992,,singleton,league:goalkeepers:295,league,goalkeepers,295,Адан,Ювентус,ВРТ,0,0,0,0,992
g0150,181,,existing_person_id,cl:forwards:588,cl,forwards,588,Адейеми,Дортмунд,ПФА,0,11,6,0,181
g0150,181,,singleton,league:forwards:799,league,forwards,799,Адейеми,Дортмунд,ПФА,0,9,1,1,181
g0094,100,,existing_person_id,cl:forwards:522,cl,forwards,522,Адингра,Цска,ЛФА,0,3,0,1,100
g0094,100,,singleton,league:forwards:701,league,forwards,701,Адингра,Цска,ЛФА,0,4,0,0,100
g0006,191,,existing_person_id,cl:forwards:606,cl,forwards,606,Адли,Жирона,ФРВ,0,0,0,0,191
g0006,191,,existing_person_id,cl:forwards:656,cl,forwards,656,Адли,Байер,ФРВ,1,4,0,3,191
g0006,191,,transfer_same_name,league:forwards:817,league,forwards,817,Адли,Жирона,ФРВ,0,0,0,0,191
g0006,191,,existing_person_id,league:forwards:901,league,forwards,901,Адли,Байер,ФРВ,1,4,1,0,191
g0803,169,,singleton,league:forwards:783,league,forwards,783,Азмун,Рома,ПФА,0,9,1,1,169
g0582,757,,existing_person_id,cl:defenders:729,cl,defenders,729,Аит-Нури,Ньюкасл,ЛЗ,0,1,0,0,757
g0582,757,,singleton,league:defenders:965,league,defenders,965,Аит-Нури,Ньюкасл,ЛЗ,0,2,0,1,757
g0665,888,,existing_person_id,cl:defenders:828,cl,defenders,828,Айду,Бавария,ЦЗ,0,0,0,0,888
g0665,888,,singleton,league:defenders:1131,league,defenders,1131,Айду,Бавария,ЦЗ,0,0,0,0,888
g0766,25,,singleton,league:forwards:574,league,forwards,574,Айозе,Бетис,ЛФА,0,0,0,0,25
g0449,583,,existing_person_id,cl:defenders:532,cl,defenders,532,Аканжи,Сити,ЦЗ,0,0,0,0,583
g0449,583,,singleton,league:defenders:708,league,defenders,708,Аканжи,Сити,ЦЗ,0,0,0,0,583
g0450,584,,existing_person_id,cl:defenders:533,cl,defenders,533,Аке,Сити,ЦЗ,0,0,0,0,584
g0450,584,,singleton,league:defenders:709,league,defenders,709,Аке,Сити,ЦЗ,0,0,0,0,584
g0969,848,,singleton,league:defenders:1088,league,defenders,1088,Акпогума,Хоффенхайм,ЦЗ,0,0,0,0,848
g0820,229,,singleton,league:forwards:874,league,forwards,874,Акпом,Астон Вилла,ФРВ,0,1,0,0,229
g0561,727,,existing_person_id,cl:defenders:707,cl,defenders,707,Акунья,Арсенал,ЛЗ,0,8,0,1,727
g0561,727,,singleton,league:defenders:934,league,defenders,934,Акунья,Арсенал,ЛЗ,0,8,0,0,727
g0470,618,,existing_person_id,cl:defenders:567,cl,defenders,567,Алаба,Реал,ЦЗ,0,0,0,0,618
g0470,618,,singleton,league:defenders:772,league,defenders,772,Алаба,Реал,ЦЗ,0,1,0,0,618
g0493,642,,existing_person_id,cl:defenders:600,cl,defenders,600,Алдервейрельд,Фиорентина,ЦЗ,0,0,0,0,642
g0493,642,,singleton,league:defenders:805,league,defenders,805,Алдервейрельд,Фиорентина,ЦЗ,0,0,0,0,642
g0831,304,,singleton,league:midfielders:687,league,midfielders,687,Алейш Гарсия,Жирона,ЦП,0,8,1,1,304
g0569,744,,existing_person_id,cl:defenders:715,cl,defenders,715,Александер-Арнольд,Ливерпуль,ПЗ,0,0,0,0,744
g0569,744,,singleton,league:defenders:951,league,defenders,951,Александер-Арнольд,Ливерпуль,ПЗ,0,1,0,0,744
g0070,64,,existing_person_id,cl:forwards:478,cl,forwards,478,Алексис Санчес,Барселона,ФРВ,0,0,0,0,64
g0070,64,,singleton,league:forwards:634,league,forwards,634,Алексис Санчес,Барселона,ФРВ,0,0,0,0,64
g0547,711,,existing_person_id,cl:defenders:689,cl,defenders,689,Алип,Зенит,ЦЗ,0,1,0,1,711
g0547,711,,singleton,league:defenders:916,league,defenders,916,Алип,Зенит,ЦЗ,0,0,0,0,711
g0724,961,,existing_person_id,cl:goalkeepers:197,cl,goalkeepers,197,Алиссон,Ливерпуль,ВРТ,0,0,0,0,961
g0724,961,,singleton,league:goalkeepers:257,league,goalkeepers,257,Алиссон,Ливерпуль,ВРТ,0,2,0,0,961
g0148,179,,existing_person_id,cl:forwards:586,cl,forwards,586,Аллер,Дортмунд,ФРВ,0,0,0,0,179
g0148,179,,singleton,league:forwards:797,league,forwards,797,Аллер,Дортмунд,ФРВ,0,0,0,0,179
g0233,293,,existing_person_id,cl:midfielders:509,cl,midfielders,509,Алмада,Атлетико,ЦАП,0,8,4,6,293
g0233,293,,singleton,league:midfielders:670,league,midfielders,670,Алмада,Атлетико,ЦАП,0,4,0,0,293
g0529,679,,existing_person_id,cl:defenders:666,cl,defenders,666,Алонсо,Краснодар,ЦЗ,0,0,0,0,679
g0529,679,,singleton,league:defenders:878,league,defenders,878,Алонсо,Краснодар,ЦЗ,0,0,0,0,679
g0243,303,,existing_person_id,cl:midfielders:525,cl,midfielders,525,Аль-Мусрати,Барселона,ЦОП,0,0,0,0,303
g0243,303,,singleton,league:midfielders:686,league,midfielders,686,Аль-Мусрати,Барселона,ЦОП,0,0,0,0,303
g0492,641,,existing_person_id,cl:defenders:599,cl,defenders,599,Альба,Ювентус,ЛЗ,0,9,1,0,641
g0492,641,,singleton,league:defenders:804,league,defenders,804,Альба,Ювентус,ЛЗ,0,10,1,0,641
g0868,452,,singleton,league:midfielders:917,league,midfielders,917,Альберто,Лацио,ЦП,0,0,0,0,452
g0666,891,yes,existing_person_id,cl:defenders:829,cl,defenders,829,Альварез,Атлетико,ПЗ,0,0,0,0,891
g0666,891,yes,singleton,league:defenders:1134,league,defenders,1134,Альварез,Атлетико,ПЗ,0,0,0,0,891
g0677,902,yes,existing_person_id,cl:defenders:844,cl,defenders,844,Альварез,Динамо,ЦЗ,0,0,0,0,902
g0677,902,yes,singleton,league:defenders:1149,league,defenders,1149,Альварез,Динамо,ЦЗ,0,0,0,0,902
g0201,257,,existing_person_id,cl:forwards:666,cl,forwards,666,Альваро Гарсия,Динамо,ЛФА,0,0,0,0,257
g0201,257,,singleton,league:forwards:910,league,forwards,910,Альваро Гарсия,Динамо,ЛФА,0,2,2,0,257
g0116,128,,existing_person_id,cl:forwards:548,cl,forwards,548,Альмирон,Арсенал,ПФА,0,0,0,0,128
g0116,128,,singleton,league:forwards:733,league,forwards,733,Альмирон,Арсенал,ПФА,0,1,0,0,128
g0382,489,,existing_person_id,cl:midfielders:749,cl,midfielders,749,Амири,Байер,ЦАП,0,0,0,0,489
g0382,489,,singleton,league:midfielders:978,league,midfielders,978,Амири,Байер,ЦАП,0,1,1,1,489
g0332,425,,existing_person_id,cl:midfielders:668,cl,midfielders,668,Амрабат,Мю,ЦП,0,0,0,0,425
g0332,425,,singleton,league:midfielders:878,league,midfielders,878,Амрабат,Мю,ЦП,0,0,0,1,425
g0007,343,,existing_person_id,cl:midfielders:575,cl,midfielders,575,Ангисса,Милан,ЦОП,0,1,0,1,343
g0007,343,,existing_person_id,cl:midfielders:808,cl,midfielders,808,Ангисса,Наполи,ЦОП,1,8,0,0,343
g0007,343,,transfer_same_name,league:midfielders:755,league,midfielders,755,Ангисса,Милан,ЦОП,0,0,0,0,343
g0007,343,,existing_person_id,league:midfielders:1062,league,midfielders,1062,Ангисса,Наполи,ЦОП,1,7,1,2,343
g0988,920,,singleton,league:defenders:1167,league,defenders,1167,Ангуло,Жирона,ЦЗ,0,0,0,0,920
g0228,288,,existing_person_id,cl:midfielders:502,cl,midfielders,502,Андер Эррера,Атлетик,ЦП,0,2,0,1,288
g0228,288,,singleton,league:midfielders:663,league,midfielders,663,Андер Эррера,Атлетик,ЦП,0,3,0,1,288
g0793,154,,singleton,league:forwards:763,league,forwards,763,Андерсон,Лацио,ПФА,0,1,0,0,154
g0379,486,,existing_person_id,cl:midfielders:746,cl,midfielders,746,Андрих,Байер,ЦП,0,8,1,0,486
g0379,486,,singleton,league:midfielders:975,league,midfielders,975,Андрих,Байер,ЦП,0,10,1,3,486
g0114,126,,existing_person_id,cl:forwards:545,cl,forwards,545,Антони,Мю,ПФА,0,0,2,1,126
g0114,126,,singleton,league:forwards:730,league,forwards,730,Антони,Мю,ПФА,0,1,0,1,126
g0202,258,,existing_person_id,cl:forwards:667,cl,forwards,667,Антонио,Динамо,ФРВ,0,1,2,1,258
g0202,258,,singleton,league:forwards:911,league,forwards,911,Антонио,Динамо,ФРВ,0,2,2,0,258
g0507,657,,existing_person_id,cl:defenders:630,cl,defenders,630,Антониу Сильва,Аталанта,ЦЗ,0,0,0,0,657
g0507,657,,singleton,league:defenders:835,league,defenders,835,Антониу Сильва,Аталанта,ЦЗ,0,0,0,0,657
g0469,603,,existing_person_id,cl:defenders:566,cl,defenders,566,Араухо,Барселона,ЦЗ,0,8,1,0,603
g0469,603,,singleton,league:defenders:751,league,defenders,751,Араухо,Барселона,ЦЗ,0,8,0,0,603
g1005,1005,,singleton,league:goalkeepers:308,league,goalkeepers,308,Ареоля,Урал,ВРТ,0,0,0,0,1005
g0067,61,,existing_person_id,cl:forwards:475,cl,forwards,475,Арнаутович,Интер,ФРВ,0,8,2,2,61
g0067,61,,singleton,league:forwards:631,league,forwards,631,Арнаутович,Интер,ФРВ,0,11,7,4,61
g0397,515,yes,existing_person_id,cl:midfielders:810,cl,midfielders,810,Арнольд,Вольфсбург,ЦОП,0,9,0,1,515
g0397,515,yes,override_merge_group,league:midfielders:1020,league,midfielders,1020,Арнольд,Вольфсбург,ЦП,0,10,0,2,515
g0264,337,,existing_person_id,cl:midfielders:561,cl,midfielders,561,Артур,Фиорентина,ЦП,0,7,0,1,337
g0264,337,,singleton,league:midfielders:741,league,midfielders,741,Артур,Фиорентина,ЦП,0,7,0,1,337
g0826,243,,singleton,league:forwards:888,league,forwards,888,Аспас,Хоффенхайм,ФРВ,0,0,0,0,243
g0650,864,,existing_person_id,cl:defenders:813,cl,defenders,813,Аурснес,Лейпциг,ПЗ,0,0,0,0,864
g0650,864,,singleton,league:defenders:1107,league,defenders,1107,Аурснес,Лейпциг,ПЗ,0,0,0,0,864
g0521,671,,existing_person_id,cl:defenders:648,cl,defenders,648,Ачерби,Ньюкасл,ЦЗ,0,0,0,0,671
g0521,671,,singleton,league:defenders:853,league,defenders,853,Ачерби,Ньюкасл,ЦЗ,0,0,0,0,671
g0541,698,,existing_person_id,cl:defenders:680,cl,defenders,680,Бабич,Спартак,ЦЗ,0,0,0,0,698
g0541,698,,singleton,league:defenders:900,league,defenders,900,Бабич,Спартак,ЦЗ,0,0,0,0,698
g0846,373,,singleton,league:midfielders:809,league,midfielders,809,Бабкин,Крылья Советов,ЦАП,0,7,3,1,373
g0939,775,,singleton,league:defenders:983,league,defenders,983,Бадиашиле,Челси,ЦЗ,0,0,0,0,775
g0796,157,,singleton,league:forwards:766,league,forwards,766,Байер,Лацио,ЛФА,0,7,1,0,157
g0816,218,,singleton,league:forwards:863,league,forwards,863,Бакайоко,Хоффенхайм,ПФА,0,0,0,0,218
g0510,660,,existing_person_id,cl:defenders:635,cl,defenders,635,Баккер,Аталанта,ЛЗ,0,0,0,0,660
g0510,660,,singleton,league:defenders:840,league,defenders,840,Баккер,Аталанта,ЛЗ,0,0,0,0,660
g0620,816,,existing_person_id,cl:defenders:773,cl,defenders,773,Баку,Франкфурт,ПЗ,0,0,0,0,816
g0620,816,,singleton,league:defenders:1036,league,defenders,1036,Баку,Франкфурт,ПЗ,0,0,0,0,816
g0177,224,,existing_person_id,cl:forwards:634,cl,forwards,634,Балогун,Цска,ФРВ,0,0,0,0,224
g0177,224,,singleton,league:forwards:869,league,forwards,869,Балогун,Цска,ФРВ,0,1,1,0,224
g0522,672,,existing_person_id,cl:defenders:657,cl,defenders,657,Бальбуэна,Динамо,ЦЗ,0,0,0,0,672
g0522,672,,singleton,league:defenders:869,league,defenders,869,Бальбуэна,Динамо,ЦЗ,0,0,0,0,672
g0468,602,,existing_person_id,cl:defenders:565,cl,defenders,565,Бальде,Барселона,ЛЗ,0,0,0,0,602
g0468,602,,singleton,league:defenders:750,league,defenders,750,Бальде,Барселона,ЛЗ,0,0,0,0,602
g0145,176,,existing_person_id,cl:forwards:581,cl,forwards,581,Банза,Бавария,ФРВ,0,4,3,1,176
g0145,176,,singleton,league:forwards:792,league,forwards,792,Банза,Бавария,ФРВ,0,5,2,2,176
g0259,332,,existing_person_id,cl:midfielders:555,cl,midfielders,555,Барак,Фиорентина,ЦП,0,9,4,1,332
g0259,332,,singleton,league:midfielders:735,league,midfielders,735,Барак,Фиорентина,ЦП,0,7,0,1,332
g0467,601,,existing_person_id,cl:defenders:563,cl,defenders,563,Бард,Барселона,ЛЗ,0,0,0,0,601
g0467,601,,singleton,league:defenders:748,league,defenders,748,Бард,Барселона,ЛЗ,0,0,0,0,601
g0535,692,,existing_person_id,cl:defenders:673,cl,defenders,673,Бардакджы,Локомотив,ЦЗ,0,0,0,0,692
g0535,692,,singleton,league:defenders:893,league,defenders,893,Бардакджы,Локомотив,ЦЗ,0,0,0,0,692
g0278,352,,existing_person_id,cl:midfielders:586,cl,midfielders,586,Барелла,Интер,ЦП,0,8,6,2,352
g0278,352,,singleton,league:midfielders:766,league,midfielders,766,Барелла,Интер,ЦП,0,12,3,5,352
g0298,378,,existing_person_id,cl:midfielders:624,cl,midfielders,624,Баринов,Локомотив,ЦП,0,8,0,0,378
g0298,378,,singleton,league:midfielders:818,league,midfielders,818,Баринов,Локомотив,ЦП,0,7,0,1,378
g0022,5,,existing_person_id,cl:forwards:395,cl,forwards,395,Барколя,Сити,ЛФА,0,1,0,1,5
g0022,5,,singleton,league:forwards:530,league,forwards,530,Барколя,Сити,ЛФА,0,2,0,0,5
g0135,162,,existing_person_id,cl:forwards:569,cl,forwards,569,Барнс,Милан,ЛФА,0,1,0,1,162
g0135,162,,singleton,league:forwards:771,league,forwards,771,Барнс,Милан,ЛФА,0,2,0,0,162
g0049,43,,existing_person_id,cl:forwards:437,cl,forwards,437,Барренечеа,Реал Сосьедад,ЛФА,0,0,0,0,43
