group_id,person_id_proposed,needs_review,rule,row_key,db,table,row_id,name,team,position,left_team,matches,goals,assists,person_id_current
g0214,1208,,existing,cl:midfielders:61,cl,midfielders,61,Ааронсон,Франкфурт,ЦАП,0,0,0,0,1208
g0214,1208,,existing,league:midfielders:87,league,midfielders,87,Ааронсон,Франкфурт,ЦАП,0,0,0,0,1208
g1058,1503,,existing,league:defenders:292,league,defenders,292,Абнер,Бетис,ЛЗ,0,3,0,0,1503
g0088,1087,,existing,cl:forwards:89,cl,forwards,89,Абрахам,Рома,ФРВ,0,0,0,0,1087
g0088,1087,,existing,league:forwards:147,league,forwards,147,Абрахам,Рома,ФРВ,0,7,2,2,1087
g0577,725,,link_season_slot,cl:defenders:210,cl,defenders,210,Агапов,Цска,ЦЗ,0,0,0,0,725
g0577,725,,link_season_slot,league:defenders:337,league,defenders,337,Агапов,Цска,ЦЗ,0,5,0,0,725
g0662,1607,,existing,cl:goalkeepers:39,cl,goalkeepers,39,Агиррезабала,Атлетик,ВРТ,0,0,0,0,1607
g0662,1607,,existing,league:goalkeepers:68,league,goalkeepers,68,Агиррезабала,Атлетик,ВРТ,0,0,0,0,1607
g0679,950,,link_season_slot,cl:goalkeepers:56,cl,goalkeepers,56,Агкацев,Краснодар,ВРТ,0,0,0,0,950
g0679,950,,link_season_slot,league:goalkeepers:91,league,goalkeepers,91,Агкацев,Краснодар,ВРТ,0,0,0,0,950
g0995,1422,,existing,league:defenders:151,league,defenders,151,Адамс,Хоффенхайм,ЦЗ,0,0,0,0,1422
g0716,1065,,existing,league:forwards:93,league,forwards,93,Адаму,Фрайбург,ФРВ,0,0,0,0,1065
g0966,1374,,existing,league:defenders:40,league,defenders,40,Адарабьо,Фулхэм,ЦЗ,0,4,0,0,1374
g0039,1049,,existing,cl:forwards:38,cl,forwards,38,Адейеми,Дортмунд,ФРВ,0,8,9,5,1049
g0039,1049,,existing,league:forwards:60,league,forwards,60,Адейеми,Дортмунд,ФРВ,0,12,16,1,1049
g0691,1027,,existing,league:forwards:11,league,forwards,11,Адингра,Брайтон,ЛФА,0,11,2,2,1027
g0001,191,,link_season_slot,cl:forwards:55,cl,forwards,55,Адли,Байер,ФРВ,1,1,0,1,191
g0001,191,,link_season_slot,cl:midfielders:115,cl,midfielders,115,Адли,Милан,ЦАП,0,0,0,0,191
g0001,191,,link_season_slot,league:forwards:77,league,forwards,77,Адли,Байер,ФРВ,1,10,4,0,191
g0001,191,,link_season_slot,league:midfielders:183,league,midfielders,183,Адли,Милан,ЦАП,0,0,0,0,191
g0630,1576,,existing,cl:goalkeepers:7,cl,goalkeepers,7,Адриан,Ливерпуль,ВРТ,0,0,0,0,1576
