midfielders | Виейра | Арсенал | ЦАП | matches=0
midfielders | Дуглас Луис | Астон Вилла | ЦП | matches=0
midfielders | Траоре | Астон Вилла | ПП | matches=0
defenders | Джимсити | Аталанта | ЦЗ | matches=0
forwards | Вилалибре | Атлетик | ФРВ | matches=0
midfielders | Галаррета | Атлетик | ЦП | matches=0
midfielders | Лино | Атлетико | ЛП | matches=0
forwards | Мотинг | Бавария | ФРВ | matches=0
defenders | Косуну | Байер | ЦЗ | matches=0
goalkeepers | Пенья | Барселона | ВРТ | matches=0
defenders | Роберто | Барселона | ПЗ | matches=0
forwards | Сарвели | Барселона | ФРВ | matches=0
forwards | Жозе | Бетис | ФРВ | matches=0
defenders | Руибаль | Бетис | ПЗ | matches=0
midfielders | Эззалзули | Бетис | ЛП | matches=0
midfielders | Крамер | Боруссия М | ЦП | matches=0
midfielders | Райц | Боруссия М | ЦП | matches=0
forwards | Себашё | Боруссия М | ФРВ | matches=0
forwards | Педро | Брайтон | ФРВ | matches=0
forwards | Уэлбек | Брайтон | ФРВ | matches=0
midfielders | Энсисо | Брайтон | ЛП | matches=0
defenders | Габбиа | Вильярреал | ЦЗ | matches=1
midfielders | Комесанья | Вильярреал | ЦП | matches=0
goalkeepers | Лльорис | Вильярреал | ВРТ | matches=2
goalkeepers | Рейна | Вильярреал | ВРТ | matches=1
forwards | Винд | Вольфсбург | ФРВ | matches=0
forwards | Томаш | Вольфсбург | ФРВ | matches=0
forwards | Лесовой | Динамо | ЛФА | matches=0
midfielders | Озкан | Дортмунд | ЦП | matches=0
defenders | Райерсон | Дортмунд | ЛЗ | matches=0
midfielders | Ду Кейрош | Зенит | ЦП | matches=0
defenders | Еракович | Зенит | ЦЗ | matches=1
defenders | Ренан | Зенит | ЦЗ | matches=0
forwards | Сергеев | Зенит | ФРВ | matches=0
defenders | Дармиан | Интер | ЦЗ | matches=0
midfielders | Сенси | Интер | ЦП | matches=0
midfielders | Фраттеси | Интер | ЦП | matches=0
midfielders | Барриос | Краснодар | ЦП | matches=0
midfielders | Кокшаров | Краснодар | ЦАП | matches=1
defenders | Иванисеня | Крылья Советов | ЦЗ | matches=3
defenders | Рассказов | Крылья Советов | ПЗ | matches=0
midfielders | Соколов | Крылья Советов | ЦАП | matches=0
forwards | Хубулов | Крылья Советов | ЛФА | matches=1
forwards | Шитов | Крылья Советов | ФРВ | matches=0
forwards | Педро | Лацио | ПФА | matches=0
defenders | Орбан | Лейпциг | ЦЗ | matches=0
midfielders | Хайдара | Лейпциг | ЦП | matches=0
defenders | Хенрихс | Лейпциг | ПЗ | matches=0
defenders | Брэдли | Ливерпуль | ПЗ | matches=0
defenders | Кванса | Ливерпуль | ЦЗ | matches=0
goalkeepers | Келлехер | Ливерпуль | ВРТ | matches=0
forwards | Кьеза | Ливерпуль | ПФА | matches=0
defenders | Матип | Ливерпуль | ЦЗ | matches=2
midfielders | Тьяго | Ливерпуль | ЦП | matches=11
defenders | Цимикас | Ливерпуль | ЛЗ | matches=0
defenders | Митай | Локомотив | ЛЗ | matches=0
goalkeepers | Муссо | Локомотив | ВРТ | matches=1
midfielders | Рыбчинский | Локомотив | ПП | matches=0
forwards | Барнс | Милан | ПФА | matches=3
forwards | Йович | Милан | ФРВ | matches=0
defenders | Тиау | Милан | ЦЗ | matches=0
midfielders | Кажусте | Наполи | ЦП | matches=0
goalkeepers | Дубравка | Ньюкасл | ВРТ | matches=0
midfielders | Уиллок | Ньюкасл | ЦП | matches=6
forwards | Уилсон | Ньюкасл | ФРВ | matches=0
defenders | Аридане | Райо Вальекано | ЦЗ | matches=0
midfielders | Унай | Райо Вальекано | ЦП | matches=0
defenders | Чаваррия | Райо Вальекано | ЛЗ | matches=0
forwards | де Томас | Райо Вальекано | ФРВ | matches=0
midfielders | Камавинга | Реал | ЦП | matches=0
goalkeepers | Кепа | Реал | ВРТ | matches=1
defenders | Начо | Реал | ЦЗ | matches=1
forwards | Барренечеа | Реал Сосьедад | ЛФА | matches=0
forwards | Азмун | Рома | ФРВ | matches=9
midfielders | Ауар | Рома | ЦАП | matches=0
forwards | Голенков | Ростов | ФРВ | matches=0
defenders | Терентьев | Ростов | ЦЗ | matches=2
midfielders | Иванов | Рубин | ЦП | matches=0
midfielders | Мусаев | Рубин | ЦП | matches=0
midfielders | Болокка | Сассуоло | ЦП | matches=0
defenders | Руан | Сассуоло | ЦЗ | matches=0
defenders | Феррари | Сассуоло | ЦЗ | matches=0
midfielders | Ахметов | Севилья | ЦП | matches=0
forwards | Мир | Севилья | ФРВ | matches=0
forwards | Сусо | Севилья | ПФА | matches=0
midfielders | Торрес | Севилья | ЦП | matches=0
forwards | Бельтран | Спартак | ФРВ | matches=0
forwards | Карамо | Торино | ФРВ | matches=0
midfielders | Ломовицкий | Торино | ЦП | matches=0
forwards | Ришарлисон | Тоттенхэм | ФРВ | matches=0
forwards | Соломон | Тоттенхэм | ЛФА | matches=0
goalkeepers | Пепе Рейна | Урал | ВРТ | matches=2
midfielders | Сиссе | Урал | ЦП | matches=0
forwards | Адаму | Фиорентина | ФРВ | matches=0
midfielders | Вайсхаупт | Фрайбург | ЛП | matches=0
defenders | Шмидт | Фрайбург | ЦЗ | matches=0
midfielders | Роде | Франкфурт | ЦП | matches=0
midfielders | Якич | Франкфурт | ЦП | matches=0
midfielders | Керни | Фулхэм | ЦП | matches=0
forwards | Хименез | Фулхэм | ФРВ | matches=0
forwards | Вегхорст | Хоффенхайм | ФРВ | matches=0
defenders | Мелехин | Хоффенхайм | ЦЗ | matches=0
defenders | Нсоки | Хоффенхайм | ЦЗ | matches=0
defenders | Гайич | Цска | ПЗ | matches=0
goalkeepers | Спортиелло | Цска | ВРТ | matches=1
goalkeepers | Тороп | Цска | ВРТ | matches=0
forwards | Броя | Челси | ФРВ | matches=0
midfielders | Милло | Штутгарт | ЦАП | matches=0
midfielders | Хак | Штутгарт | ЛП | matches=0
forwards | Илинг | Ювентус | ЛФА | matches=0
midfielders | Коуто | Ювентус | ПП | matches=0
