# Черновик составов АПЛ (пачка 1 из 5 команд за сессию).
# Формат: имя | команда | позиция | overall | нация
# Правила: ЦФД→ФРВ, ЦОП→ЦП, ЛФЗ→ЛЗ, ПФЗ→ПЗ. Скамейка — как в игре, с подменой ЦОП→ЦП.
# Нация — страна игрока (кратко по-русски).
# Ливерпуль — в eng_apl_liverpool.txt.
#
# --- АРСЕНАЛ ---
Рамсдейл | Арсенал | ВРТ | 84 | Англия
Тимбер | Арсенал | ЛЗ | 79 | Нидерланды
Габриэль | Арсенал | ЦЗ | 84 | Бразилия
Салиба | Арсенал | ЦЗ | 83 | Франция
Уайт | Арсенал | ПЗ | 80 | Англия
Парти | Арсенал | ЦП | 85 | Гана
Райс | Арсенал | ЦП | 85 | Англия
Одегаард | Арсенал | ЦАП | 87 | Норвегия
Мартинелли | Арсенал | ЛФА | 84 | Бразилия
Сака | Арсенал | ПФА | 86 | Англия
Хаверц | Арсенал | ФРВ | 82 | Германия
Жезус | Арсенал | ФРВ | 84 | Бразилия
Трусар | Арсенал | ФРВ | 81 | Бельгия
Нкетиа | Арсенал | ФРВ | 75 | Англия
Жоржиньо | Арсенал | ЦП | 83 | Италия
Томиясу | Арсенал | ПЗ | 78 | Япония
Виейра | Арсенал | ЦАП | 77 | Португалия
Зинченко | Арсенал | ЛЗ | 80 | Украина
#
# --- АСТОН ВИЛЛА ---
# Позиции с поля: на скрине нестандартная расстановка (Уоткинс/Конса выше линии). Приведено к слотам с поля; если Конса у тебя в БД чистый ЦЗ — поправь вручную.
Мартинез | Астон Вилла | ВРТ | 85 | Аргентина
Морено | Астон Вилла | ЛЗ | 80 | Испания
Мингз | Астон Вилла | ЦЗ | 79 | Англия
Торрес | Астон Вилла | ЦЗ | 83 | Колумбия
Кэш | Астон Вилла | ПЗ | 79 | Англия
Макгинн | Астон Вилла | ЦП | 79 | Шотландия
Тилеманс | Астон Вилла | ЦП | 82 | Бельгия
Уоткинс | Астон Вилла | ЦАП | 80 | Англия
Конса | Астон Вилла | ЦЗ | 80 | Англия
Бэйли | Астон Вилла | ФРВ | 79 | Ямайка
Диаби | Астон Вилла | ФРВ | 84 | Франция
Камара | Астон Вилла | ЦП | 81 | Франция
Дуглас Луис | Астон Вилла | ЦП | 80 | Бразилия
Заниоло | Астон Вилла | ПП | 80 | Италия
Траоре | Астон Вилла | ПП | 75 | Франция
Карлос | Астон Вилла | ЦЗ | 81 | Бразилия
Буендиа | Астон Вилла | ПП | 80 | Аргентина
Рэмзи | Астон Вилла | ЛП | 78 | Уэльс
#
# --- БРАЙТОН ---
Стиль | Брайтон | ВРТ | 71 | Англия
Лампти | Брайтон | ПЗ | 75 | Гана
Вебстер | Брайтон | ЦЗ | 78 | Англия
Игорь | Брайтон | ЦЗ | 76 | Бразилия
Эступинан | Брайтон | ЛЗ | 80 | Эквадор
Дауд | Брайтон | ЦП | 78 | Германия
Марч | Брайтон | ЦП | 79 | Англия
Гроб | Брайтон | ЦП | 78 | Германия
Митома | Брайтон | ПФА | 80 | Япония
Адингра | Брайтон | ЛФА | 73 | Кот-д’Ивуар
Фати | Брайтон | ФРВ | 78 | Испания
Фергюсон | Брайтон | ФРВ | 74 | Шотландия
Милнер | Брайтон | ЦП | 77 | Англия
Гилмор | Брайтон | ЦП | 72 | Шотландия
Энсисо | Брайтон | ЛП | 70 | Парагвай
Данк | Брайтон | ЦЗ | 81 | Англия
Педро | Брайтон | ФРВ | 73 | Бразилия
Уэлбек | Брайтон | ФРВ | 76 | Англия
#
# --- ЧЕЛСИ ---
Стерлинг | Челси | ЛФА | 83 | Англия
Нкунку | Челси | ФРВ | 86 | Франция
Мадуэке | Челси | ПФА | 77 | Англия
Энцо | Челси | ЦАП | 83 | Аргентина
Кайседо | Челси | ЦП | 80 | Эквадор
Галлагер | Челси | ЦП | 78 | Англия
Маатсен | Челси | ЛЗ | 74 | Нидерланды
Фофана | Челси | ЦЗ | 79 | Франция
Сильва | Челси | ЦЗ | 84 | Бразилия
Гюсто | Челси | ПЗ | 76 | Франция
Санчез | Челси | ВРТ | 79 | Испания
Мудрык | Челси | ЛФА | 75 | Украина
Джеймс | Челси | ПЗ | 84 | Англия
Лавиа | Челси | ЦП | 73 | Бельгия
Броя | Челси | ФРВ | 75 | Албания
Палмер | Челси | ПФА | 67 | Англия
Джексон | Челси | ФРВ | 78 | Сенегал
Бадиашиле | Челси | ЦЗ | 78 | Франция
