# Черновик составов АПЛ — пачка 2 (Фулхэм, Сити, Мю, Ньюкасл, Тоттенхэм).
# Формат: имя | команда | позиция | overall | нация
# Правила: ЦФД→ФРВ, ЦОП→ЦП, ЛФЗ→ЛЗ, ПФЗ→ПЗ.
#
# --- ФУЛХЭМ ---
Лено | Фулхэм | ВРТ | 81 | Германия
Тете | Фулхэм | ПЗ | 76 | Нидерланды
Диоп | Фулхэм | ЦЗ | 78 | Сенегал
Бейси | Фулхэм | ЦЗ | 74 | Нигерия
Робинсон | Фулхэм | ЛЗ | 76 | США
Рид | Фулхэм | ЦП | 76 | Англия
Палинья | Фулхэм | ЦП | 83 | Португалия
Айвоби | Фулхэм | ПП | 76 | Нигерия
Виллиан | Фулхэм | ЛП | 77 | Бразилия
Перейра | Фулхэм | ЦАП | 77 | Бразилия
Траоре | Фулхэм | ФРВ | 76 | Испания
Хименез | Фулхэм | ФРВ | 76 | Мексика
Лукич | Фулхэм | ЦП | 77 | Сербия
Кордова | Фулхэм | ПП | 76 | Ямайка
Уилсон | Фулхэм | ПП | 75 | Англия
Керни | Фулхэм | ЦП | 74 | Шотландия
Адарабьо | Фулхэм | ЦЗ | 77 | Англия
Балло | Фулхэм | ЛЗ | 72 | Сенегал
#
# --- СИТИ ---
Эдерсон | Сити | ВРТ | 88 | Бразилия
Уокер | Сити | ПЗ | 84 | Англия
Стоунз | Сити | ЦЗ | 85 | Англия
Диаш | Сити | ЦЗ | 89 | Португалия
Гвардиоль | Сити | ЛЗ | 82 | Хорватия
Родри | Сити | ЦП | 89 | Испания
Сильва | Сити | ЦП | 88 | Португалия
Де Брюйне | Сити | ЦАП | 91 | Бельгия
Фоден | Сити | ПФА | 85 | Англия
Доку | Сити | ЛФА | 77 | Бельгия
Холанд | Сити | ФРВ | 91 | Норвегия
Ковачич | Сити | ЦП | 82 | Хорватия
Альварез | Сити | ФРВ | 80 | Аргентина
Грилиш | Сити | ЛФА | 85 | Англия
Аканжи | Сити | ЦЗ | 82 | Швейцария
Аке | Сити | ЦЗ | 81 | Нидерланды
Льюис | Сити | ПЗ | 73 | Англия
Нуньес | Сити | ЦП | 79 | Португалия
#
# --- МЮ ---
Онана | Мю | ВРТ | 85 | Камерун
Ван-Биссака | Мю | ПЗ | 80 | Англия
Варан | Мю | ЦЗ | 85 | Франция
Мартинез | Мю | ЦЗ | 84 | Аргентина
Маласия | Мю | ЛЗ | 78 | Нидерланды
Каземиро | Мю | ЦП | 89 | Бразилия
Эриксен | Мю | ЦП | 83 | Дания
Фернандеш | Мю | ЦАП | 88 | Португалия
Антони | Мю | ПФА | 81 | Бразилия
Диалло | Мю | ПФА | 74 | Кот-д’Ивуар
Рэшфорд | Мю | ФРВ | 85 | Англия
Хёйлунд | Мю | ФРВ | 76 | Дания
Марсиаль | Мю | ФРВ | 80 | Франция
Маунт | Мю | ЦАП | 81 | Англия
Мактоминей | Мю | ЦП | 79 | Шотландия
Шоу | Мю | ЛЗ | 83 | Англия
Далот | Мю | ПЗ | 80 | Португалия
Санчо | Мю | ЛФА | 82 | Англия
Макгуайр | Мю | ЦЗ | 80 | Англия
Линделёф | Мю | ЦЗ | 79 | Швеция
Амрабат | Мю | ЦП | 78 | Марокко
Регилон | Мю | ЛЗ | 78 | Испания
#
# --- НЬЮКАСЛ ---
Поуп | Ньюкасл | ВРТ | 84 | Англия
Трипье | Ньюкасл | ПЗ | 85 | Англия
Шар | Ньюкасл | ЦЗ | 82 | Швейцария
Ботман | Ньюкасл | ЦЗ | 83 | Нидерланды
Бёрн | Ньюкасл | ЛЗ | 79 | Англия
Жоелинтон | Ньюкасл | ЦП | 82 | Бразилия
Гимараеш | Ньюкасл | ЦП | 84 | Бразилия
Тонали | Ньюкасл | ЦП | 86 | Италия
Гордон | Ньюкасл | ЛФА | 76 | Англия
Исак | Ньюкасл | ФРВ | 81 | Швеция
Альмирон | Ньюкасл | ПФА | 81 | Парагвай
Уилсон | Ньюкасл | ФРВ | 82 | Англия
Мёрфи | Ньюкасл | ПФА | 76 | Англия
Лонгстаф | Ньюкасл | ЦП | 78 | Англия
Андерсон | Ньюкасл | ЦП | 72 | Англия
Ливраменто | Ньюкасл | ПЗ | 74 | Англия
Холл | Ньюкасл | ЛЗ | 66 | Англия
Дубравка | Ньюкасл | ВРТ | 78 | Словакия
#
# --- ТОТТЕНХЭМ ---
Викарио | Тоттенхэм | ВРТ | 82 | Италия
Порро | Тоттенхэм | ПЗ | 81 | Испания
Ромеро | Тоттенхэм | ЦЗ | 82 | Аргентина
Ван де Вен | Тоттенхэм | ЦЗ | 78 | Нидерланды
Удоджи | Тоттенхэм | ЛЗ | 77 | Италия
Мэддисон | Тоттенхэм | ЦП | 85 | Англия
Бентанкур | Тоттенхэм | ЦП | 82 | Уругвай
Ло Чельсо | Тоттенхэм | ЦП | 81 | Аргентина
Кулушевски | Тоттенхэм | ПФА | 81 | Швеция
Джонсон | Тоттенхэм | ПФА | 76 | Англия
Сон | Тоттенхэм | ФРВ | 87 | Южная Корея
Перишич | Тоттенхэм | ЦП | 79 | Хорватия
Соломон | Тоттенхэм | ЛФА | 77 | Израиль
Сарр | Тоттенхэм | ЦП | 73 | Сенегал
Ришарлисон | Тоттенхэм | ФРВ | 80 | Бразилия
Роял | Тоттенхэм | ПЗ | 78 | Бразилия
Сессеньон | Тоттенхэм | ЛЗ | 75 | Англия
Хёйберг | Тоттенхэм | ЦП | 84 | Дания
