# Состав Ливерпуля (АПЛ). Формат: имя | команда | позиция | overall | нация
# Правила как в остальных eng_apl: ЦОП→ЦП, ЛФЗ→ЛЗ, ПФЗ→ПЗ.
#
# --- ЛИВЕРПУЛЬ ---
Алиссон | Ливерпуль | ВРТ | 89 | Бразилия
Келлехер | Ливерпуль | ВРТ | 78 | Ирландия
Ван Дейк | Ливерпуль | ЦЗ | 89 | Нидерланды
Конате | Ливерпуль | ЦЗ | 84 | Франция
Кванса | Ливерпуль | ЦЗ | 75 | Англия
Гомес | Ливерпуль | ЦЗ | 80 | Англия
Робертсон | Ливерпуль | ЛЗ | 84 | Шотландия
Цимикас | Ливерпуль | ЛЗ | 76 | Греция
Александер-Арнольд | Ливерпуль | ПЗ | 85 | Англия
Брэдли | Ливерпуль | ПЗ | 78 | Северная Ирландия
Мак Аллистер | Ливерпуль | ЦП | 86 | Аргентина
Собослай | Ливерпуль | ЦП | 85 | Венгрия
Гравенберх | Ливерпуль | ЦП | 82 | Нидерланды
Эндо | Ливерпуль | ЦП | 79 | Япония
Джонс | Ливерпуль | ЦП | 80 | Англия
Эллиотт | Ливерпуль | ПП | 79 | Англия
Салах | Ливерпуль | ПФА | 89 | Египет
Диас | Ливерпуль | ЛФА | 85 | Колумбия
Нуньес | Ливерпуль | ФРВ | 84 | Уругвай
Гакпо | Ливерпуль | ФРВ | 82 | Нидерланды
Жота | Ливерпуль | ФРВ | 85 | Португалия
Кьеза | Ливерпуль | ПФА | 81 | Италия
