# Черновик составов Ла Лиги — пачка 1 (Атлетик Бильбао, Атлетико Мадрид, Барса, Жирона, Райо).
# Формат: имя | команда | позиция | overall | нация
# Правила: ЦФД→ФРВ, ЦОП→ЦП, ЛФЗ→ЛЗ, ПФЗ→ПЗ.
#
# --- АТЛЕТИК БИЛЬБАО ---
Иньяки | Атлетик Бильбао | ФРВ | 81 | Гана
Нико | Атлетик Бильбао | ЛП | 80 | Испания
Беренгер | Атлетик Бильбао | ПП | 80 | Испания
Муниаин | Атлетик Бильбао | ЦАП | 81 | Испания
Сансет | Атлетик Бильбао | ЦП | 81 | Испания
Эррера | Атлетик Бильбао | ЦП | 79 | Испания
Берчиче | Атлетик Бильбао | ЛЗ | 79 | Испания
Йерай | Атлетик Бильбао | ЦЗ | 81 | Испания
Вивиан | Атлетик Бильбао | ЦЗ | 79 | Испания
Де Маркос | Атлетик Бильбао | ПЗ | 80 | Испания
Симон | Атлетик Бильбао | ВРТ | 83 | Испания
Вилалибре | Атлетик Бильбао | ФРВ | 73 | Испания
Весга | Атлетик Бильбао | ЦП | 78 | Испания
Гурузета | Атлетик Бильбао | ФРВ | 77 | Испания
Галаррета | Атлетик Бильбао | ЦП | 77 | Испания
Паредес | Атлетик Бильбао | ЦЗ | 70 | Испания
Лекуе | Атлетик Бильбао | ПЗ | 74 | Испания
Иманоль | Атлетик Бильбао | ЛЗ | 70 | Испания
#
# --- АТЛЕТИКО МАДРИД ---
Депай | Атлетико Мадрид | ФРВ | 84 | Нидерланды
Корреа | Атлетико Мадрид | ФРВ | 82 | Аргентина
Гризманн | Атлетико Мадрид | ФРВ | 88 | Франция
Льоренте | Атлетико Мадрид | ПП | 84 | Испания
Сауль | Атлетико Мадрид | ЛП | 81 | Испания
Лемар | Атлетико Мадрид | ЦП | 82 | Франция
Рейнилдо | Атлетико Мадрид | ЛЗ | 81 | Мозамбик
Эрмосо | Атлетико Мадрид | ЦЗ | 82 | Испания
Савич | Атлетико Мадрид | ЦЗ | 82 | Черногория
Молина | Атлетико Мадрид | ПЗ | 82 | Аргентина
Облак | Атлетико Мадрид | ВРТ | 88 | Словения
Барриос | Атлетико Мадрид | ЦП | 74 | Испания
Де Поль | Атлетико Мадрид | ЦП | 84 | Аргентина
Лино | Атлетико Мадрид | ЛП | 77 | Бразилия
Хименез | Атлетико Мадрид | ЦЗ | 83 | Уругвай
Галан | Атлетико Мадрид | ЛЗ | 82 | Испания
Коке | Атлетико Мадрид | ЦП | 84 | Испания
Мората | Атлетико Мадрид | ФРВ | 83 | Испания
#
# --- БАРСА ---
Торрес | Барса | ЛФА | 82 | Испания
Лева | Барса | ФРВ | 90 | Польша
Рафинья | Барса | ПФА | 84 | Бразилия
Педри | Барса | ЦП | 86 | Испания
де Йонг | Барса | ЦП | 87 | Нидерланды
Гави | Барса | ЦП | 83 | Испания
Бальде | Барса | ЛЗ | 81 | Испания
Араухо | Барса | ЦЗ | 86 | Уругвай
Кунде | Барса | ЦЗ | 85 | Франция
Канселу | Барса | ПЗ | 86 | Португалия
тер Штеген | Барса | ВРТ | 89 | Германия
Феликс | Барса | ФРВ | 81 | Португалия
Ромеу | Барса | ЦП | 80 | Испания
Гюндоган | Барса | ЦП | 86 | Германия
Кристенсен | Барса | ЦЗ | 83 | Дания
Мартинез | Барса | ЦЗ | 82 | Испания
Роберто | Барса | ПЗ | 80 | Испания
Пенья | Барса | ВРТ | 73 | Испания
#
# --- ЖИРОНА ---
Савио | Жирона | ЛФА | 73 | Бразилия
Стуани | Жирона | ФРВ | 77 | Уругвай
Цыганков | Жирона | ПФА | 82 | Украина
Алейш Гарсия | Жирона | ЦП | 80 | Испания
Эррера | Жирона | ЦП | 77 | Венесуэла
Саму гарсия | Жирона | ЦП | 74 | Испания
Гутиерез | Жирона | ЛЗ | 75 | Испания
Лопес | Жирона | ЦЗ | 79 | Испания
Эрик Гарсия | Жирона | ЦЗ | 75 | Испания
Мартинес | Жирона | ПЗ | 80 | Испания
Газзанига | Жирона | ВРТ | 79 | Аргентина
Довбык | Жирона | ФРВ | 72 | Украина
Порту | Жирона | ПП | 75 | Испания
Мартин | Жирона | ЦП | 75 | Испания
Вилья | Жирона | ЛП | 74 | Испания
Блинд | Жирона | ЦЗ | 77 | Нидерланды
Валери | Жирона | ПП | 73 | Испания
Коуто | Жирона | ПП | 73 | Бразилия
#
# --- РАЙО ---
Палазон | Райо | ФРВ | 82 | Испания
Альваро Гарсия | Райо | ЛП | 79 | Испания
Трехо | Райо | ЦАП | 78 | Аргентина
Де Фрутос | Райо | ПП | 77 | Испания
Валентин | Райо | ЦП | 76 | Испания
Сисс | Райо | ЦП | 74 | Сенегал
Эспино | Райо | ЛЗ | 78 | Уругвай
Лежен | Райо | ЦЗ | 77 | Франция
Мумин | Райо | ЦЗ | 70 | Гана
Байлу | Райо | ПЗ | 77 | Албания
Димитриевски | Райо | ВРТ | 79 | Северная Македония
де Томас | Райо | ФРВ | 79 | Испания
Позо | Райо | ЦАП | 72 | Испания
Бебе | Райо | ЛП | 74 | Кабо-Верде
Перес | Райо | ЦП | 73 | Испания
Чаваррия | Райо | ЛЗ | 71 | Испания
Аридане | Райо | ЦЗ | 76 | Испания
Унай | Райо | ЦП | 74 | Испания
