# Черновик составов Ла Лиги — пачка 2 (Бетис, Реал, Реал Сосьедад, Севилья, Вильярреал).
# Формат: имя | команда | позиция | overall | нация
# Правила: ЦФД→ФРВ, ЦОП→ЦП, ЛФЗ→ЛЗ, ПФЗ→ПЗ.
# Севилья: позиции ЛЦП / ПЦП / ЛЦЗ / ПЦЗ — как на скрине.
#
# --- БЕТИС ---
Иглесиас | Бетис | ФРВ | 83 | Испания
Фекир | Бетис | ЦАП | 83 | Франция
Айозе | Бетис | ЛП | 79 | Испания
Энрике | Бетис | ПП | 77 | Бразилия
Карвальо | Бетис | ЦП | 81 | Португалия
Иско | Бетис | ЦП | 80 | Испания
Абнер | Бетис | ЛЗ | 72 | Бразилия
Родригез | Бетис | ЦЗ | 83 | Аргентина
Бартра | Бетис | ЦЗ | 79 | Испания
Беллерин | Бетис | ПЗ | 78 | Испания
Сильва | Бетис | ВРТ | 81 | Португалия
Жозе | Бетис | ФРВ | 76 | Бразилия
Рока | Бетис | ЦП | 75 | Испания
Родри | Бетис | ЛП | 77 | Испания
Песелья | Бетис | ЦЗ | 76 | Аргентина
Сабали | Бетис | ПЗ | 77 | Сенегал
Руибаль | Бетис | ПЗ | 76 | Испания
Эззалзули | Бетис | ЛП | 73 | Марокко
#
# --- РЕАЛ ---
Вини | Реал | ЛФА | 89 | Бразилия
Хоселу | Реал | ФРВ | 82 | Испания
Родриго | Реал | ПФА | 85 | Бразилия
Беллингем | Реал | ЦАП | 87 | Англия
Модрич | Реал | ЦП | 87 | Хорватия
Вальверде | Реал | ЦП | 88 | Уругвай
Менди | Реал | ЛЗ | 82 | Франция
Алаба | Реал | ЦЗ | 85 | Австрия
Рюдигер | Реал | ЦЗ | 85 | Германия
Карвахаль | Реал | ПЗ | 82 | Испания
Куртуа | Реал | ВРТ | 90 | Бельгия
Гюлер | Реал | ЦАП | 77 | Турция
Кроос | Реал | ЦП | 86 | Германия
Чуамени | Реал | ЦП | 84 | Франция
Браим | Реал | ЦАП | 80 | Испания
Милитао | Реал | ЦЗ | 86 | Бразилия
Камавинга | Реал | ЦП | 82 | Франция
Фран Гарсия | Реал | ЛЗ | 78 | Испания
#
# --- РЕАЛ СОСЬЕДАД ---
Захарян | Реал Сосьедад | ЛФА | 75 | Россия
Садик | Реал Сосьедад | ФРВ | 77 | Нигерия
Кубо | Реал Сосьедад | ПФА | 80 | Япония
Мендез | Реал Сосьедад | ЦП | 81 | Испания
Оярзабаль | Реал Сосьедад | ЦАП | 83 | Испания
Мерино | Реал Сосьедад | ЦП | 84 | Испания
Тирни | Реал Сосьедад | ЛЗ | 80 | Шотландия
Ле Норманд | Реал Сосьедад | ЦЗ | 82 | Испания
Зубельдия | Реал Сосьедад | ЦЗ | 80 | Испания
Траоре | Реал Сосьедад | ПЗ | 80 | Мали
Ремиро | Реал Сосьедад | ВРТ | 84 | Испания
Сильва | Реал Сосьедад | ФРВ | 80 | Португалия
Барренечеа | Реал Сосьедад | ЛФА | 75 | Испания
Зубименди | Реал Сосьедад | ЦП | 80 | Испания
Элустондо | Реал Сосьедад | ЦЗ | 80 | Испания
Одриозола | Реал Сосьедад | ПЗ | 76 | Испания
Муньос | Реал Сосьедад | ЛЗ | 74 | Испания
Шо | Реал Сосьедад | ФРВ | 72 | Франция
#
# --- СЕВИЛЬЯ ---
Окампос | Севилья | ПФА | 80 | Аргентина
Эн-Несри | Севилья | ФРВ | 82 | Марокко
Лукебакио | Севилья | ЛФА | 78 | Бельгия
Акунья | Севилья | ЦП | 85 | Аргентина
Ракитич | Севилья | ЦП | 81 | Хорватия
Фернандо | Севилья | ЦП | 82 | Бразилия
Педроса | Севилья | ЛЗ | 76 | Испания
Рамос | Севилья | ЛЦЗ | 83 | Испания
Гудель | Севилья | ЦЗ | 80 | Сербия
Навас | Севилья | ПЗ | 80 | Испания
Дмитрович | Севилья | ВРТ | 80 | Сербия
Ламела | Севилья | ПФА | 80 | Аргентина
Гонсалвеш | Севилья | ЛФА | 82 | Португалия
Соу | Севилья | ЦП | 78 | Швейцария
Сусо | Севилья | ПФА | 80 | Испания
Баде | Севилья | ЦЗ | 77 | Франция
Торрес | Севилья | ЦП | 79 | Испания
Маркао | Севилья | ЦЗ | 78 | Бразилия
#
# --- ВИЛЬЯРРЕАЛ ---
Пино | Вильярреал | ЛП | 79 | Испания
Сорлот | Вильярреал | ФРВ | 79 | Норвегия
Жерар Морено | Вильярреал | ПФА | 83 | Испания
Баена | Вильярреал | ЦП | 76 | Испания
Капу | Вильярреал | ЦП | 81 | Франция
Головин | Вильярреал | ЦП | 85 | Россия
Альберто Морено | Вильярреал | ЛЗ | 76 | Испания
Куенка | Вильярреал | ЦЗ | 73 | Испания
Манди | Вильярреал | ЦЗ | 76 | Алжир
Фойф | Вильярреал | ПЗ | 80 | Аргентина
Йоргенсен | Вильярреал | ВРТ | 72 | Дания
Моралес | Вильярреал | ФРВ | 79 | Испания
Комесанья | Вильярреал | ЦП | 78 | Испания
Террац | Вильярреал | ЦП | 74 | Испания
Педраса | Вильярреал | ЛЗ | 78 | Испания
Диас | Вильярреал | ЛП | 74 | Чили
Фемения | Вильярреал | ПЗ | 74 | Испания
Коклен | Вильярреал | ЦП | 80 | Франция
