# Черновик составов Бундеслиги — пачка 1 (Дортмунд, Бавария, Франкфурт, Байер, Боруссия М).
# Формат: имя | команда | позиция | overall | нация
# Правила: ЦФД→ФРВ, ЦОП→ЦП, ЛФЗ→ЛЗ, ПФЗ→ПЗ.
#
# --- ДОРТМУНД ---
Кобель | Дортмунд | ВРТ | 87 | Швейцария
Бенсебаини | Дортмунд | ЛЗ | 80 | Алжир
Шлоттербек | Дортмунд | ЦЗ | 83 | Германия
Зюле | Дортмунд | ЦЗ | 84 | Германия
Вульф | Дортмунд | ПЗ | 78 | Германия
Ройс | Дортмунд | ЦП | 83 | Германия
Джан | Дортмунд | ЦП | 83 | Германия
Мален | Дортмунд | ПФА | 82 | Нидерланды
Адейеми | Дортмунд | ФРВ | 80 | Германия
Фуллкруг | Дортмунд | ФРВ | 80 | Германия
Мукоко | Дортмунд | ФРВ | 77 | Германия
Нмеча | Дортмунд | ЦП | 77 | Германия
Озкан | Дортмунд | ЦП | 78 | Турция
Брандт | Дортмунд | ЦАП | 84 | Германия
Хуммельс | Дортмунд | ЦЗ | 83 | Германия
Райерсон | Дортмунд | ЛЗ | 77 | Норвегия
Забитцер | Дортмунд | ЦП | 80 | Австрия
#
# --- БАВАРИЯ ---
Нойер | Бавария | ВРТ | 87 | Германия
Киммих | Бавария | ПЗ | 88 | Германия
Упамекано | Бавария | ЦЗ | 82 | Франция
Мин Дже | Бавария | ЦЗ | 84 | Южная Корея
Дэвис | Бавария | ЛЗ | 83 | Канада
Горетцка | Бавария | ЦП | 85 | Германия
Лаймер | Бавария | ЦП | 83 | Австрия
Сане | Бавария | ПФА | 85 | Германия
Мюллер | Бавария | ЦАП | 84 | Германия
Коман | Бавария | ЛФА | 85 | Франция
Кейн | Бавария | ФРВ | 90 | Англия
Мотинг | Бавария | ФРВ | 78 | Камерун
Тель | Бавария | ФРВ | 72 | Франция
Мусиаля | Бавария | ЦАП | 86 | Германия
Мазрауи | Бавария | ПЗ | 82 | Марокко
Де Лигт | Бавария | ЦЗ | 86 | Нидерланды
Геррейро | Бавария | ЛЗ | 82 | Португалия
Гнабри | Бавария | ЛП | 84 | Германия
#
# --- ФРАНКФУРТ ---
Трапп | Франкфурт | ВРТ | 85 | Германия
Нкунку | Франкфурт | ЛЗ | 71 | Франция
Пачо | Франкфурт | ЦЗ | 74 | Эквадор
Тута | Франкфурт | ЦЗ | 76 | Бразилия
Бута | Франкфурт | ПЗ | 75 | Португалия
Шкири | Франкфурт | ЦП | 81 | Тунис
Кох | Франкфурт | ЦП | 76 | Германия
Гётце | Франкфурт | ЦП | 82 | Германия
Дина Эбимбе | Франкфурт | ЛФА | 75 | Франция
Науфф | Франкфурт | ПФА | 75 | Германия
Мармуш | Франкфурт | ФРВ | 75 | Египет
Нганкам | Франкфурт | ФРВ | 71 | Германия
Ларссон | Франкфурт | ЦП | 69 | Швеция
Шаиби | Франкфурт | ЛП | 75 | Алжир
Якич | Франкфурт | ЦП | 74 | Хорватия
Макс | Франкфурт | ЛЗ | 78 | Германия
Хасебе | Франкфурт | ЦЗ | 72 | Япония
Роде | Франкфурт | ЦП | 78 | Германия
#
# --- БАЙЕР ---
Градецки | Байер | ВРТ | 81 | Финляндия
Гримальдо | Байер | ЛЗ | 84 | Испания
Хинкапи | Байер | ЦЗ | 79 | Эквадор
Тапсоба | Байер | ЦЗ | 81 | Буркина-Фасо
Фримпонг | Байер | ПЗ | 83 | Нидерланды
Паласиос | Байер | ЦП | 80 | Аргентина
Андрих | Байер | ЦП | 82 | Германия
Хофманн | Байер | ЦП | 83 | Германия
Виртц | Байер | ЦАП | 85 | Германия
Адли | Байер | ЛФА | 77 | Марокко
Телла | Байер | ПФА | 74 | Нигерия
Амири | Байер | ЦАП | 77 | Германия
Шик | Байер | ФРВ | 83 | Чехия
Джака | Байер | ЦП | 82 | Швейцария
Косуну | Байер | ЦЗ | 76 | Кот-д’Ивуар
Та | Байер | ЦЗ | 81 | Германия
Станишич | Байер | ПЗ | 75 | Хорватия
Бонифасе | Байер | ФРВ | 76 | Нигерия
#
# --- БОРУССИЯ М ---
Омлин | Боруссия М | ВРТ | 80 | Швейцария
Нетц | Боруссия М | ЛЗ | 73 | Германия
Эльведи | Боруссия М | ЦЗ | 77 | Швейцария
Итакура | Боруссия М | ЦЗ | 77 | Япония
Скалли | Боруссия М | ПЗ | 74 | США
Вайгль | Боруссия М | ЦП | 80 | Германия
Коне | Боруссия М | ЦП | 77 | Франция
Хонорат | Боруссия М | ЛФА | 76 | Франция
Плеа | Боруссия М | ЦАП | 77 | Франция
Нгуму | Боруссия М | ПФА | 72 | Франция
Кванкара | Боруссия М | ФРВ | 75 | Чехия
Себашё | Боруссия М | ФРВ | 73 | США
Крамер | Боруссия М | ЦП | 77 | Германия
Райц | Боруссия М | ЦП | 67 | Германия
Хак | Боруссия М | ЛП | 72 | Германия
Фридрих | Боруссия М | ЦЗ | 74 | Германия
Вёбер | Боруссия М | ЦЗ | 76 | Австрия
Нойхаус | Боруссия М | ЦП | 79 | Германия
