# Черновик составов Бундеслиги — пачка 2 (Лейпциг, Фрайбург, Штутгарт, Вольфсбург, Хоффенхайм).
# Формат: имя | команда | позиция | overall | нация
# Правила: ЦФД→ФРВ, ЦОП→ЦП, ЛФЗ→ЛЗ, ПФЗ→ПЗ.
#
# --- ЛЕЙПЦИГ ---
Гулашчи | Лейпциг | ВРТ | 84 | Венгрия
Клостерманн | Лейпциг | ПЗ | 79 | Германия
Симакан | Лейпциг | ЦЗ | 79 | Франция
Лукеба | Лейпциг | ЦЗ | 77 | Франция
Раум | Лейпциг | ЛЗ | 78 | Германия
Сейвальд | Лейпциг | ЦП | 76 | Австрия
Шлагер | Лейпциг | ЦП | 81 | Австрия
Баумгартнер | Лейпциг | ЦАП | 79 | Австрия
Ольмо | Лейпциг | ЦАП | 83 | Испания
Опенда | Лейпциг | ФРВ | 82 | Бельгия
Вернер | Лейпциг | ФРВ | 81 | Германия
Паульсен | Лейпциг | ФРВ | 77 | Дания
Шешко | Лейпциг | ФРВ | 75 | Словения
Форсберг | Лейпциг | ЦАП | 80 | Швеция
Симонс | Лейпциг | ЦАП | 80 | Нидерланды
Хайдара | Лейпциг | ЦП | 78 | Мали
Хенрихс | Лейпциг | ПЗ | 78 | Германия
Орбан | Лейпциг | ЦЗ | 83 | Венгрия
#
# --- ФРАЙБУРГ ---
Атуболу | Фрайбург | ВРТ | 70 | Германия
Силдилла | Фрайбург | ПЗ | 72 | Франция
Гинтер | Фрайбург | ЦЗ | 84 | Германия
Лайнхарт | Фрайбург | ЦЗ | 79 | Австрия
Гюнтер | Фрайбург | ЛЗ | 79 | Германия
Эггештейн | Фрайбург | ЦП | 75 | Германия
Рёль | Фрайбург | ЦП | 65 | Германия
Кайтель | Фрайбург | ЦП | 71 | Германия
Доан | Фрайбург | ПФА | 78 | Япония
Грифо | Фрайбург | ЛФА | 82 | Италия
Кирех | Фрайбург | ФРВ | 75 | Гана
Филипп | Фрайбург | ФРВ | 74 | Германия
Саллаи | Фрайбург | ПП | 76 | Венгрия
Хёлер | Фрайбург | ФРВ | 74 | Германия
Вайсхаупт | Фрайбург | ЛП | 69 | Германия
Гульде | Фрайбург | ЦЗ | 73 | Германия
Шмидт | Фрайбург | ЦЗ | 67 | Германия
Хёфлер | Фрайбург | ЦП | 76 | Германия
#
# --- ШТУТГАРТ ---
Нубель | Штутгарт | ВРТ | 76 | Германия
Ито | Штутгарт | ЛЗ | 75 | Япония
Стержиу | Штутгарт | ЦЗ | 70 | Швейцария
Антон | Штутгарт | ЦЗ | 75 | Германия
Вагноман | Штутгарт | ПЗ | 73 | Германия
Стиллер | Штутгарт | ЦП | 73 | Германия
Харагучи | Штутгарт | ЦП | 72 | Япония
Ундав | Штутгарт | ЦАП | 75 | Германия
Фюнрих | Штутгарт | ЛФА | 74 | Германия
Гирасси | Штутгарт | ФРВ | 79 | Гвинея
Милло | Штутгарт | ЦАП | 71 | Франция
Каразор | Штутгарт | ЦП | 73 | Германия
Ён | Штутгарт | ЦАП | 72 | Южная Корея
Миттельштадт | Штутгарт | ЛЗ | 74 | Германия
Загаду | Штутгарт | ЦЗ | 74 | Франция
Левелинг | Штутгарт | ФРВ | 72 | Германия
Массимо | Штутгарт | ПП | 68 | Германия
#
# --- ВОЛЬФСБУРГ ---
Кастилс | Вольфсбург | ВРТ | 84 | Бельгия
Борнау | Вольфсбург | ЦЗ | 76 | Бельгия
Лакруа | Вольфсбург | ЦЗ | 76 | Франция
Маэле | Вольфсбург | ЛЗ | 77 | Дания
Баку | Вольфсбург | ПЗ | 78 | Германия
Сванберг | Вольфсбург | ЦП | 76 | Швеция
Майер | Вольфсбург | ЦП | 79 | Словения
Арнольд | Вольфсбург | ЦАП | 81 | Германия
Виммер | Вольфсбург | ЛФА | 78 | Австрия
Черны | Вольфсбург | ПФА | 76 | Чехия
Нмеча | Вольфсбург | ФРВ | 77 | Германия
Винд | Вольфсбург | ФРВ | 77 | Дания
Томаш | Вольфсбург | ФРВ | 74 | Португалия
Герхардт | Вольфсбург | ЦП | 77 | Германия
Рожерио | Вольфсбург | ЛЗ | 73 | Бразилия
Йенц | Вольфсбург | ЦЗ | 74 | Германия
Зесигер | Вольфсбург | ЦЗ | 74 | Швейцария
Каминский | Вольфсбург | ЛФА | 75 | Польша
#
# --- ХОФФЕНХАЙМ ---
Бауманн | Хоффенхайм | ВРТ | 80 | Германия
Кадерабек | Хоффенхайм | ПЗ | 75 | Чехия
Кабак | Хоффенхайм | ЦЗ | 75 | Турция
Салаи | Хоффенхайм | ЦЗ | 76 | Венгрия
Сков | Хоффенхайм | ЛЗ | 74 | Дания
Юстван | Хоффенхайм | ПП | 72 | Германия
Крамарич | Хоффенхайм | ЦП | 81 | Хорватия
Стах | Хоффенхайм | ЦП | 75 | Германия
Бултер | Хоффенхайм | ЛП | 75 | Германия
Бебу | Хоффенхайм | ФРВ | 77 | Того
Байер | Хоффенхайм | ФРВ | 72 | Германия
Вегхорст | Хоффенхайм | ФРВ | 77 | Нидерланды
Гриллич | Хоффенхайм | ЦП | 76 | Австрия
Прёмель | Хоффенхайм | ЦП | 76 | Германия
Бериша | Хоффенхайм | ФРВ | 78 | Германия
Акпогума | Хоффенхайм | ЦЗ | 74 | Нигерия
Нсоки | Хоффенхайм | ЦЗ | 72 | Франция
Фогт | Хоффенхайм | ЦЗ | 76 | Германия
