# Черновик составов Серии А — пачка 1 (Аталанта, Фиорентина, Интер, Ювентус, Лацио).
# Формат: имя | команда | позиция | overall | нация
# Правила: ЦФД→ФРВ, ЦОП→ЦП, ЛФЗ→ЛЗ, ПФЗ→ПЗ.
#
# --- АТАЛАНТА ---
Карнесекки | Аталанта | ВРТ | 79 | Италия
Скальвини | Аталанта | ЦЗ | 75 | Италия
Толои | Аталанта | ЦЗ | 80 | Италия
Хатебур | Аталанта | ЛЗ | 78 | Нидерланды
Заппакоста | Аталанта | ПЗ | 79 | Италия
Купмайнерс | Аталанта | ЦП | 80 | Нидерланды
Эдерсон | Аталанта | ЦП | 77 | Бразилия
Пашалич | Аталанта | ЦАП | 80 | Хорватия
Лукман | Аталанта | ПФА | 81 | Нигерия
Миранчук | Аталанта | ФРВ | 77 | Россия
Муриэль | Аталанта | ЛФА | 79 | Колумбия
Баккер | Аталанта | ЛЗ | 74 | Нидерланды
Холм | Аталанта | ПЗ | 72 | Швеция
Де Кетеларе | Аталанта | ЦАП | 76 | Бельгия
Джимсити | Аталанта | ЦЗ | 77 | Албания
Де Рун | Аталанта | ЦП | 80 | Нидерланды
Колашинац | Аталанта | ЦЗ | 78 | Босния
Скамакка | Аталанта | ФРВ | 78 | Италия
#
# --- ФИОРЕНТИНА ---
Террачиано | Фиорентина | ВРТ | 79 | Италия
Бираги | Фиорентина | ЛЗ | 80 | Италия
Куарта | Фиорентина | ЦЗ | 77 | Аргентина
Миленкович | Фиорентина | ЦЗ | 79 | Сербия
Додо | Фиорентина | ПЗ | 77 | Бразилия
Лопес | Фиорентина | ЦП | 78 | Испания
Барак | Фиорентина | ЦП | 78 | Чехия
Бонавентура | Фиорентина | ЦАП | 79 | Италия
Соттиль | Фиорентина | ЛФА | 76 | Италия
Нзола | Фиорентина | ФРВ | 78 | Ангола
Гонзалез | Фиорентина | ПФА | 81 | Аргентина
Бельтран | Фиорентина | ФРВ | 76 | Аргентина
Куаме | Фиорентина | ФРВ | 77 | Кот-д’Ивуар
Париси | Фиорентина | ЛЗ | 77 | Италия
Артур | Фиорентина | ЦП | 78 | Бразилия
Раньери | Фиорентина | ЦЗ | 72 | Италия
Кастровилль | Фиорентина | ЦП | 78 | Италия
Иконе | Фиорентина | ПФА | 77 | Франция
#
# --- ИНТЕР ---
Зоммер | Интер | ВРТ | 84 | Швейцария
Бастони | Интер | ЦЗ | 85 | Италия
Павар | Интер | ЦЗ | 83 | Франция
Димарко | Интер | ЛЗ | 82 | Италия
Дамфрис | Интер | ПЗ | 81 | Нидерланды
Чалханоглу | Интер | ЦП | 85 | Турция
Барелла | Интер | ЦП | 86 | Италия
Мхитарян | Интер | ЛП | 81 | Армения
Куадрадо | Интер | ПП | 80 | Колумбия
Мартинез | Интер | ФРВ | 87 | Аргентина
Арнаутович | Интер | ФРВ | 80 | Австрия
Тюрам | Интер | ФРВ | 79 | Франция
Ачерби | Интер | ЦЗ | 83 | Италия
Аугусто | Интер | ЛП | 79 | Бразилия
Сенси | Интер | ЦП | 78 | Италия
Де Врей | Интер | ЦЗ | 82 | Нидерланды
Дармиан | Интер | ЦЗ | 80 | Италия
Фраттеси | Интер | ЦП | 80 | Италия
#
# --- ЮВЕНТУС ---
Чесны | Ювентус | ВРТ | 86 | Польша
Сандро | Ювентус | ЛЗ | 78 | Бразилия
Гатти | Ювентус | ЦЗ | 76 | Италия
Бремер | Ювентус | ЦЗ | 84 | Бразилия
Данило | Ювентус | ПЗ | 81 | Бразилия
Рабьо | Ювентус | ЦП | 84 | Франция
Локателли | Ювентус | ЦП | 82 | Италия
Фаджиоли | Ювентус | ЦП | 77 | Италия
Кьеза | Ювентус | ЛФА | 84 | Италия
Влашич | Ювентус | ЦАП | 78 | Хорватия
Влахович | Ювентус | ФРВ | 83 | Сербия
Костич | Ювентус | ПФА | 83 | Сербия
Йилдыз | Ювентус | ФРВ | 64 | Турция
Кин | Ювентус | ФРВ | 78 | Италия
Миретти | Ювентус | ЦП | 75 | Италия
Веа | Ювентус | ПФА | 74 | США
Ругани | Ювентус | ЦЗ | 75 | Италия
Маккенни | Ювентус | ЦП | 76 | США
Илинг | Ювентус | ЛФА | 71 | Англия
#
# --- ЛАЦИО ---
Проведель | Лацио | ВРТ | 82 | Италия
Марушич | Лацио | ЛЗ | 80 | Черногория
Романьоли | Лацио | ЦЗ | 83 | Италия
Касале | Лацио | ЦЗ | 79 | Италия
Лаззари | Лацио | ПЗ | 79 | Италия
Альберто | Лацио | ЦП | 84 | Испания
Гендузи | Лацио | ЦП | 79 | Франция
Камада | Лацио | ЦАП | 81 | Япония
Дзаканьи | Лацио | ЛФА | 82 | Италия
Иммобиле | Лацио | ФРВ | 85 | Италия
Андерсон | Лацио | ПФА | 81 | Бразилия
Кастелланос | Лацио | ФРВ | 79 | Аргентина
Педро | Лацио | ПФА | 78 | Испания
Исаксен | Лацио | ПФА | 74 | Дания
Вечино | Лацио | ЦП | 77 | Уругвай
Патрик | Лацио | ЦЗ | 76 | Испания
Ровелла | Лацио | ЦП | 77 | Италия
Катальди | Лацио | ЦП | 77 | Италия
