# Черновик составов Серии А — пачка 2 (Милан, Наполи, Рома, Сассуоло, Торино).
# Формат: имя | команда | позиция | overall | нация
# Правила: ЦФД→ФРВ, ЦОП→ЦП, ЛФЗ→ЛЗ, ПФЗ→ПЗ.
#
# --- МИЛАН ---
Маньян | Милан | ВРТ | 87 | Франция
Эрнандез | Милан | ЛЗ | 85 | Франция
Беннасер | Милан | ЦЗ | 84 | Алжир
Томори | Милан | ЦЗ | 84 | Англия
Калабрия | Милан | ПЗ | 81 | Италия
Лофтус-Чик | Милан | ЦП | 77 | Англия
Муса | Милан | ЦП | 74 | США
Рейндерс | Милан | ЦП | 78 | Нидерланды
Леау | Милан | ЛФА | 86 | Португалия
Чуквуезе | Милан | ПФА | 81 | Нигерия
Жиру | Милан | ФРВ | 82 | Франция
Пулишич | Милан | ЛФА | 79 | США
Йович | Милан | ФРВ | 77 | Сербия
Окафор | Милан | ФРВ | 76 | Швейцария
Тиау | Милан | ЦЗ | 77 | Германия
Кьяер | Милан | ЦЗ | 81 | Дания
Калулу | Милан | ЦЗ | 78 | Франция
Крунич | Милан | ЦП | 78 | Босния
#
# --- НАПОЛИ ---
Мерет | Наполи | ВРТ | 83 | Италия
Ди Лоренцо | Наполи | ПЗ | 85 | Италия
Рахмани | Наполи | ЦЗ | 81 | Косово
Жезус | Наполи | ЦЗ | 75 | Бразилия
Оливера | Наполи | ЛЗ | 78 | Уругвай
Лоботка | Наполи | ЦП | 84 | Словакия
Ангисса | Наполи | ЦП | 83 | Камерун
Зелински | Наполи | ЦП | 83 | Польша
Политано | Наполи | ПФА | 81 | Италия
Осимен | Наполи | ФРВ | 88 | Нигерия
Квара | Наполи | ЛФА | 86 | Грузия
Распадори | Наполи | ФРВ | 79 | Италия
Симеоне | Наполи | ФРВ | 78 | Аргентина
Элмас | Наполи | ЦАП | 80 | Северная Македония
Линдстром | Наполи | ЦАП | 77 | Дания
Руи | Наполи | ЛЗ | 81 | Португалия
Остигард | Наполи | ЦЗ | 73 | Норвегия
Кажусте | Наполи | ЦП | 73 | Швеция
#
# --- РОМА ---
Патрисио | Рома | ВРТ | 81 | Португалия
Ндика | Рома | ЦЗ | 78 | Франция
Манчини | Рома | ЦЗ | 83 | Италия
Смоллинг | Рома | ЦЗ | 84 | Англия
Спиназолла | Рома | ЛЗ | 80 | Италия
Кристенсен | Рома | ПЗ | 75 | Дания
Пеллегрини | Рома | ЦП | 83 | Италия
Санчес | Рома | ЦП | 78 | Португалия
Эль Шарави | Рома | ЛФА | 78 | Италия
Лукаку | Рома | ФРВ | 84 | Бельгия
Дибала | Рома | ЦАП | 86 | Аргентина
Абрахам | Рома | ФРВ | 80 | Англия
Кристанте | Рома | ЦП | 81 | Италия
Паредес | Рома | ЦП | 77 | Аргентина
Ауар | Рома | ЦАП | 76 | Франция
Залевски | Рома | ЛП | 76 | Польша
Лльоренте | Рома | ЦЗ | 77 | Испания
Карсдорп | Рома | ПЗ | 78 | Нидерланды
#
# --- САССУОЛО ---
Консильи | Сассуоло | ВРТ | 79 | Италия
Толян | Сассуоло | ПЗ | 72 | Хорватия
Эрлич | Сассуоло | ЦЗ | 74 | Хорватия
Вити | Сассуоло | ЦЗ | 72 | Италия
Педерсен | Сассуоло | ЛЗ | 74 | Норвегия
Энрике | Сассуоло | ЦП | 75 | Бразилия
Торстведт | Сассуоло | ЦП | 73 | Норвегия
Байрами | Сассуоло | ЦАП | 74 | Албания
Берарди | Сассуоло | ПФА | 85 | Италия
Дефрель | Сассуоло | ФРВ | 73 | Франция
Лориент | Сассуоло | ЛФА | 80 | Франция
Кастильехо | Сассуоло | ПФА | 75 | Испания
Пинамонти | Сассуоло | ФРВ | 74 | Италия
Рачич | Сассуоло | ЦП | 75 | Сербия
Болокка | Сассуоло | ЦП | 72 | Италия
Феррари | Сассуоло | ЦЗ | 72 | Италия
Руан | Сассуоло | ЦЗ | 71 | Бразилия
Винья | Сассуоло | ЛЗ | 73 | Уругвай
#
# --- ТОРИНО ---
Милинкович | Торино | ВРТ | 76 | Сербия
Лазаро | Торино | ПЗ | 72 | Австрия
Шурс | Торино | ЦЗ | 79 | Нидерланды
Бонджорно | Торино | ЦЗ | 77 | Италия
Родригез | Торино | ЛЗ | 75 | Швейцария
Риччи | Торино | ЦП | 76 | Италия
Илич | Торино | ЦП | 76 | Сербия
Белланова | Торино | ПФА | 73 | Италия
Радонич | Торино | ЛФА | 75 | Сербия
Запата | Торино | ФРВ | 81 | Колумбия
Санабрия | Торино | ФРВ | 78 | Парагвай
Карамо | Торино | ФРВ | 73 | Франция
Сек | Торино | ФРВ | 65 | Сенегал
Линетти | Торино | ЦП | 74 | Польша
Тамез | Торино | ЦП | 74 | Франция
Зима | Торино | ЦЗ | 73 | Чехия
Соппи | Торино | ПЗ | 71 | Франция
