# Черновик составов РПЛ — пачка 1 (ЦСКА, Динамо, Краснодар, Крылья Советов, Локомотив).
# Формат: имя | команда | позиция | overall | нация
# Правила: ЦФД→ФРВ, ЦОП→ЦП, ЛФЗ→ЛЗ, ПФЗ→ПЗ.
#
# --- ЦСКА ---
Акинфеев | Цска | ВРТ | 79 | Россия
Агапов | Цска | ЦЗ | 70 | Россия
Дивеев | Цска | ЦЗ | 71 | Россия
Мойзе | Цска | ЛЗ | 75 | Бразилия
Келлвен | Цска | ПЗ | 73 | Бразилия
Зджелар | Цска | ЦП | 73 | Сербия
Мендес | Цска | ЦП | 73 | Чили
Обляков | Цска | ЦП | 75 | Россия
Кучаев | Цска | ЛФА | 73 | Россия
Файзуллаев | Цска | ПФА | 70 | Узбекистан
Чалов | Цска | ФРВ | 77 | Россия
Тороп | Цска | ВРТ | 67 | Россия
Гайич | Цска | ПЗ | 74 | Сербия
Заболотный | Цска | ФРВ | 73 | Россия
Давила | Цска | ФРВ | 73 | Чили
Роша | Цска | ЦЗ | 75 | Бразилия
Мухин | Цска | ЦП | 71 | Россия
Набабкин | Цска | ПЗ | 69 | Россия
#
# --- ДИНАМО ---
Шунин | Динамо | ВРТ | 75 | Россия
Смолов | Динамо | ФРВ | 76 | Россия
Нгамалу | Динамо | ЛФА | 75 | Камерун
Тюкавин | Динамо | ПФА | 75 | Россия
Карраскаль | Динамо | ЦП | 74 | Колумбия
Чавез | Динамо | ЦП | 74 | Мексика
Фомин | Динамо | ЦП | 74 | Россия
Скопинцев | Динамо | ЛЗ | 73 | Россия
Фернандез | Динамо | ЦЗ | 71 | Парагвай
Бальбуэна | Динамо | ЦЗ | 74 | Парагвай
Лаксальт | Динамо | ПЗ | 72 | Уругвай
Макаров | Динамо | ПФА | 73 | Россия
Маричаль | Динамо | ЦЗ | 71 | Уругвай
Бителло | Динамо | ЦАП | 73 | Бразилия
Грулёв | Динамо | ЛФА | 73 | Россия
Гиттенс | Динамо | ЛФА | 72 | Англия
Силас | Динамо | ПФА | 74 | ДР Конго
Даса | Динамо | ПЗ | 71 | Израиль
Кутицкий | Динамо | ЦП | 67 | Россия
Лесовой | Динамо | ЛФА | 72 | Украина
#
# --- КРАСНОДАР ---
Сафонов | Краснодар | ВРТ | 79 | Россия
Олаза | Краснодар | ЛЗ | 74 | Уругвай
Алонсо | Краснодар | ЦЗ | 74 | Испания
Кайо | Краснодар | ЦЗ | 72 | Бразилия
Волков | Краснодар | ПЗ | 71 | Россия
Кривцов | Краснодар | ЦП | 71 | Украина
Черников | Краснодар | ЦП | 73 | Россия
Сперцян | Краснодар | ЦАП | 75 | Армения
Батши | Краснодар | ПФА | 72 | Россия
Кордоба | Краснодар | ФРВ | 77 | Колумбия
Ленини | Краснодар | ЦП | 71 | Уругвай
Тормена | Краснодар | ЦЗ | 73 | Бразилия
Ахметов | Краснодар | ЦП | 71 | Россия
Олусегун | Краснодар | ФРВ | 71 | Нигерия
Петров | Краснодар | ПЗ | 70 | Россия
Баньяч | Краснодар | ЦП | 71 | Сербия
Кобнан | Краснодар | ПФА | 67 | Россия
#
# --- КРЫЛЬЯ СОВЕТОВ ---
Ломаев | Крылья Советов | ВРТ | 71 | Россия
Костанза | Крылья Советов | ПЗ | 72 | Бразилия
Евгеньев | Крылья Советов | ЦЗ | 72 | Россия
Солдатенков | Крылья Советов | ЦЗ | 73 | Россия
Горшков | Крылья Советов | ЛЗ | 73 | Россия
Рахманович | Крылья Советов | ЦП | 72 | Босния
Дмитро | Крылья Советов | ЦП | 70 | Украина
Бабкин | Крылья Советов | ЦП | 68 | Россия
Гарре | Крылья Советов | ПФА | 74 | Аргентина
Писарский | Крылья Советов | ФРВ | 71 | Россия
Салтыков | Крылья Советов | ЛФА | 69 | Россия
Боргес | Крылья Советов | ЛФА | 64 | Кабо-Верде
Бийл | Крылья Советов | ПЗ | 72 | Нидерланды
Рассказов | Крылья Советов | ПЗ | 70 | Россия
Ежов | Крылья Советов | ПФА | 70 | Россия
Витюгов | Крылья Советов | ЦП | 70 | Россия
Цыпченко | Крылья Советов | ФРВ | 68 | Россия
Шитов | Крылья Советов | ФРВ | 67 | Россия
Соколов | Крылья Советов | ЦАП | 67 | Россия
Зотов | Крылья Советов | ЦОП | 70 | Россия
#
# --- ЛОКОМОТИВ ---
Лантратов | Локомотив | ВРТ | 73 | Россия
Дзюба | Локомотив | ФРВ | 76 | Россия
Пиняев | Локомотив | ЛФА | 72 | Россия
Глушенков | Локомотив | ПФА | 72 | Россия
Миранчук | Локомотив | ЦП | 75 | Россия
Баринов | Локомотив | ЦП | 75 | Россия
Карпукас | Локомотив | ЦП | 70 | Литва
Самошников | Локомотив | ЛЗ | 71 | Россия
Фассон | Локомотив | ЦЗ | 71 | Бразилия
Морозов | Локомотив | ЦЗ | 68 | Россия
Тикнизян | Локомотив | ПЗ | 73 | Армения
Рыбчинский | Локомотив | ПП | 70 | Россия
Силянов | Локомотив | ПЗ | 70 | Россия
Ненахов | Локомотив | ПЗ | 70 | Россия
Марадишвили | Локомотив | ЦП | 70 | Грузия
Сулейманов | Локомотив | ФРВ | 70 | Россия
Митай | Локомотив | ЛЗ | 68 | Албания
Жемалетдинов | Локомотив | ПП | 72 | Россия
Сарвели | Локомотив | ФРВ | 70 | Россия
