# Черновик составов РПЛ — пачка 2 (Ростов, Рубин, Спартак, Зенит, Урал).
# Формат: имя | команда | позиция | overall | нация
# Правила: ЦФД→ФРВ, ЦОП→ЦП, ЛФЗ→ЛЗ, ПФЗ→ПЗ.
#
# --- РОСТОВ ---
Мохеби | Ростов | ЛФА | 71 | Иран
Комличенко | Ростов | ФРВ | 74 | Россия
Ионов | Ростов | ПФА | 71 | Россия
Уткин | Ростов | ЦАП | 72 | Россия
Миронов | Ростов | ЦП | 69 | Россия
Глебов | Ростов | ЦП | 72 | Россия
Вахания | Ростов | ЛЗ | 68 | Россия
Прохин | Ростов | ЦЗ | 71 | Россия
Осипенко | Ростов | ЦЗ | 70 | Россия
Лангович | Ростов | ПЗ | 68 | Россия
Песьяков | Ростов | ВРТ | 70 | Россия
Щетинин | Ростов | ЦАП | 70 | Россия
Чернов | Ростов | ЛЗ | 69 | Россия
Голенков | Ростов | ФРВ | 70 | Россия
Тугарев | Ростов | ЛФА | 67 | Россия
Мелехин | Ростов | ЦЗ | 70 | Россия
Байрамян | Ростов | ЛФА | 72 | Армения
Акбашев | Ростов | ЦП | 68 | Россия
#
# --- РУБИН ---
Лисакович | Рубин | ФРВ | 70 | Беларусь
Чумич | Рубин | ЛП | 70 | Сербия
Евтич | Рубин | ЦП | 70 | Швейцария
Коновалов | Рубин | ЦП | 67 | Россия
Вада | Рубин | ЦП | 68 | Аргентина
Ранделович | Рубин | ПП | 70 | Сербия
Рыбус | Рубин | ЛЗ | 67 | Польша
Грицаенко | Рубин | ЦЗ | 69 | Россия
Сорокин | Рубин | ЦЗ | 69 | Россия
Кабутов | Рубин | ПЗ | 69 | Россия
Дюпин | Рубин | ВРТ | 71 | Россия
Иванов | Рубин | ЦП | 66 | Россия
Зотов | Рубин | ЦП | 68 | Россия
Мусаев | Рубин | ЦП | 65 | Россия
Даку | Рубин | ФРВ | 70 | Албания
Мартынович | Рубин | ЦЗ | 68 | Беларусь
Иву | Рубин | ЦП | 69 | Армения
Фамье | Рубин | ФРВ | 71 | Гана
#
# --- СПАРТАК ---
Промес | Спартак | ФРВ | 80 | Нидерланды
Зиньковский | Спартак | ЛФА | 72 | Россия
Медина | Спартак | ПФА | 75 | Парагвай
Игнатов | Спартак | ЦАП | 71 | Россия
Пруцев | Спартак | ЦП | 70 | Россия
Зобнин | Спартак | ЦП | 75 | Россия
Реабчук | Спартак | ЛЗ | 72 | Молдавия
Джикия | Спартак | ЦЗ | 74 | Россия
Дуарте | Спартак | ЦЗ | 72 | Парагвай
Денисов | Спартак | ПЗ | 68 | Россия
Максименко | Спартак | ВРТ | 71 | Россия
Мартинш | Спартак | ЦП | 71 | Люксембург
Хлусевич | Спартак | ЛЗ | 73 | Россия
Соболев | Спартак | ФРВ | 74 | Россия
Мелешин | Спартак | ФРВ | 67 | Россия
Бабич | Спартак | ЦЗ | 72 | Сербия
Мозес | Спартак | ПП | 72 | Нигерия
Бонгонда | Спартак | ЛФА | 75 | ДР Конго
#
# --- ЗЕНИТ ---
Мантуан | Зенит | ЛФА | 72 | Бразилия
Касьерра | Зенит | ФРВ | 76 | Колумбия
Мостовой | Зенит | ПФА | 73 | Россия
Клаудиньо | Зенит | ЦАП | 81 | Бразилия
Барриос | Зенит | ЦП | 78 | Колумбия
Вендел | Зенит | ЦП | 82 | Бразилия
Сантос | Зенит | ЛЗ | 79 | Бразилия
Алип | Зенит | ЦЗ | 71 | Казахстан
Чистяков | Зенит | ЦЗ | 70 | Россия
Караваев | Зенит | ПЗ | 74 | Россия
Кержаков | Зенит | ВРТ | 72 | Россия
Фернандес | Зенит | ПЗ | 74 | Россия
Сергеев | Зенит | ФРВ | 74 | Россия
Ерохин | Зенит | ЦП | 74 | Россия
Коваленко | Зенит | ЦАП | 71 | Россия
Эракович | Зенит | ЦЗ | 74 | Сербия
Ду Кейрош | Зенит | ЦП | 73 | Бразилия
Ренан | Зенит | ЦЗ | 70 | Бразилия
#
# --- УРАЛ ---
Каштанов | Урал | ФРВ | 68 | Россия
Дмитриев | Урал | ЛФА | 67 | Россия
Юшин | Урал | ПФА | 70 | Россия
Егорычев | Урал | ЦАП | 71 | Россия
Газинский | Урал | ЦП | 70 | Россия
Мишкич | Урал | ЦП | 72 | Хорватия
Кики | Урал | ЛЗ | 68 | Кабо-Верде
Бегич | Урал | ЦЗ | 72 | Хорватия
Эмерсон | Урал | ЦЗ | 69 | ДР Конго
Кулаков | Урал | ПЗ | 67 | Украина
Помазун | Урал | ВРТ | 73 | Россия
Малкевич | Урал | ЛП | 66 | Беларусь
Бевеев | Урал | ПЗ | 69 | Россия
Бикфалви | Урал | ЦАП | 70 | Румыния
Шеттине | Урал | ФРВ | 69 | Бразилия
Мамин | Урал | ЦЗ | 68 | Россия
Аюпов | Урал | ЦП | 70 | Россия
Сиссе | Урал | ЦП | 68 | Гвинея
