Игрок	Позиция	Рейтинг	Команда (из)	Команда (в)
Влашич	ЦАП	88	Ювентус	Арсенал
Давид	ФРВ	83	Зенит	Арсенал
Гакпо	ФРВ	82	Астон Вилла	Арсенал
Кокчу	ЦП	82	Лейпциг	Арсенал
Фомин	ЦАП	81	Зенит	Арсенал
Габриэль Жезус	ПФА	85	Арсенал	Астон Вилла
Милитао	ЦЗ	82	Реал	Астон Вилла
Кайседо	ЦОП	80	Челси	Астон Вилла
Гудмундсон	ЦАП	78	Урал	Астон Вилла
Альварез	ПЗ	75	Атлетико	Астон Вилла
Фраттези	ЦП	80	Лацио	Аталанта
Хенри	ЛЗ	80	Динамо	Аталанта
Дибала	ЦАП	86	Дортмунд	Атлетик
Рамос	ЦЗ	84	Севилья	Атлетик
Виффер	ЦП	78	Локомотив	Атлетик
Локо	ЛЗ	77	Локомотив	Атлетик
Рикельме	ЛФА	77	Атлетико	Атлетик
Вальверде	ЦОП	86	Реал	Атлетико
Хофманн	ПФА	84	Байер	Атлетико
Иско	ЦАП	83	Бетис	Атлетико
Додо	ПЗ	75	Фиорентина	Атлетико
Маммана	ЦЗ	74	Наполи	Атлетико
Гнабри	ЛФА	87	Рома	Бавария
Стерлинг	ЛФА	86	Челси	Бавария
Угарте	ЦП	81	Челси	Бавария
Пинеда	ЦАП	77	Милан	Бавария
Тиау	ЦЗ	75	Милан	Бавария
Маэле	ЛЗ	81	Вольфсбург	Байер
Ришарлисон	ФРВ	79	Мю	Байер
Гринвуд	ПФА	78	Челси	Байер
Ливай Гарсия	ФРВ	77	Вольфсбург	Байер
Сон	ЛФА	88	Тоттенхэм	Барселона
Стоунз	ЦЗ	84	Сити	Барселона
Торрейра	ЦП	82	Атлетик	Барселона
Коне	ЦП	79	Ньюкасл	Барселона
Алмада	ЦАП	81	Атлетико	Бетис
Эдвардс	ПФА	80	Спартак	Бетис
Гомес	ЦЗ	75	Ливерпуль	Бетис
Браганса	ЦП	74	Ливерпуль	Бетис
Зюле	ЦЗ	82	Дортмунд	Боруссия М
Шешко	ФРВ	80	Динамо	Боруссия М
Салай	ЦЗ	77	Хоффенхайм	Боруссия М
Доку	ПФА	76	Хоффенхайм	Боруссия М
Стах	ЦП	75	Хоффенхайм	Боруссия М
Тюкавин	ФРВ	74	Реал Сосьедад	Боруссия М
Гримальдо	ЛЗ	84	Байер	Вольфсбург
Исак	ФРВ	84	Ньюкасл	Вольфсбург
Барроу	ФРВ	77	Байер	Вольфсбург
Нету	ЛФА	77	Франкфурт	Вольфсбург
Дармиан	ЦЗ	80	Интер	Динамо
Форсберг	ЦАП	80	Лейпциг	Динамо
Хатебур	ЛЗ	80	Аталанта	Динамо
Адли	ФРВ	77	Жирона	Динамо
Муниаин	ЦАП	84	Атлетик	Дортмунд
Бардакджы	ЦЗ	80	Локомотив	Дортмунд
Лаззари	ПЗ	80	Лацио	Дортмунд
Синистерра	ПФА	80	Боруссия М	Дортмунд
Фелипе	ЦЗ	80	Боруссия М	Дортмунд
Дембеле	ПФА	83	Реал	Жирона
Ляказет	ФРВ	83	Краснодар	Жирона
Рюдигер	ЦЗ	82	Реал	Жирона
Барнс	ЛФА	81	Милан	Жирона
Маркао	ЦЗ	78	Спартак	Жирона
Ортега	ВРТ	82	Сити	Зенит
Виртц	ЦАП	80	Астон Вилла	Зенит
Толои	ЦЗ	78	Тоттенхэм	Зенит
Мунетси	ЦП	77	Урал	Зенит
Савио	ЛФА	77	Жирона	Зенит
Лападула	ФРВ	75	Урал	Зенит
Альварез	ЦЗ	83	Динамо	Интер
Гедеш	ФРВ	79	Локомотив	Интер
Антони	ПФА	79	Мю	Краснодар
Гирасси	ФРВ	79	Астон Вилла	Краснодар
Адингра	ЛФА	75	Цска	Краснодар
Глушенков	ПФА	75	Локомотив	Краснодар
Мудрык	ФРВ	73	Цска	Краснодар
Барриос	ЦОП	74	Краснодар	Крылья Советов
Камбиасо	ЛЗ	74	Ювентус	Крылья Советов
Довбык	ФРВ	73	Хоффенхайм	Крылья Советов
Аль-Мусрати	ЦОП	81	Барселона	Лацио
Джордан	ЦП	80	Севилья	Лацио
Райерсон	ПЗ	79	Дортмунд	Лацио
Салах	ПФА	78	Краснодар	Лацио
Купмайнерс	ЦП	76	Аталанта	Лацио
Канте	ЦОП	84	Арсенал	Лейпциг
Карраскаль	ЦАП	81	Динамо	Лейпциг
Шик	ФРВ	84	Байер	Ливерпуль
Тюрам	ФРВ	82	Ньюкасл	Ливерпуль
Вейга	ЦАП	78	Астон Вилла	Ливерпуль
Висса	ЛФА	77	Барселона	Ливерпуль
Сабали	ПЗ	77	Бетис	Ливерпуль
Уоткинс	ФРВ	77	Интер	Локомотив
Жуниор	ПФА	76	Краснодар	Локомотив
Риччи	ЦП	75	Крылья Советов	Локомотив
Шарахили	ЦЗ	75	Дортмунд	Локомотив
Колпани	ЦП	74	Ньюкасл	Локомотив
Иманол	ЛЗ	70	Атлетик	Локомотив
Кьеза	ЛФА	87	Ювентус	Милан
Мариу	ЦАП	83	Бавария	Милан
Айду	ЦЗ	81	Бавария	Милан
Бето	ФРВ	81	Спартак	Милан
Бартра	ЦЗ	78	Бетис	Милан
Маркиньос	ЦЗ	85	Реал	Мю
Тьяго	ЦП	82	Ливерпуль	Мю
Мухтар	ФРВ	80	Спартак	Мю
Кэш	ПЗ	79	Астон Вилла	Мю
Джонс	ЦП	77	Ливерпуль	Мю
Марез	ФРВ	89	Челси	Наполи
Родри	ЦОП	89	Атлетико	Наполи
Кох	ЦП	82	Франкфурт	Наполи
Политано	ПФА	81	Фиорентина	Наполи
Калабрия	ПЗ	78	Милан	Наполи
Гюндоган	ЦП	85	Барселона	Ньюкасл
Оярзабаль	ЦАП	85	Реал Сосьедад	Ньюкасл
Мармуш	ФРВ	83	Франкфурт	Ньюкасл
Дорли	ЦП	76	Барселона	Ньюкасл
Осимен	ФРВ	90	Наполи	Реал
Варан	ЦЗ	84	Мю	Реал
Агуэрд	ЦЗ	79	Франкфурт	Реал
Ромариньо	ФРВ	79	Вольфсбург	Реал
Гиттенс	ЛФА	75	Динамо	Реал
Лукебакио	ПФА	83	Севилья	Реал Сосьедад
Хулиан Альварез	ФРВ	81	Тоттенхэм	Реал Сосьедад
Амрабат	ЦП	80	Мю	Реал Сосьедад
Перейра	ЦАП	78	Ньюкасл	Реал Сосьедад
Кудус	ПФА	81	Тоттенхэм	Рома
Уналь	ФРВ	80	Фиорентина	Рома
Нуньез	ЦЗ	77	Фиорентина	Рома
Эллиотт	ЦАП	77	Фиорентина	Рома
Станишич	ПЗ	75	Байер	Рома
Ди Мария	ПФА	85	Реал Сосьедад	Севилья
Дардер	ЦП	83	Лацио	Севилья
Йерай	ЦЗ	80	Атлетик	Севилья
Гарначо	ЛФА	78	Мю	Севилья
Хаверц	ФРВ	88	Арсенал	Сити
Кванкара	ФРВ	84	Боруссия М	Сити
Кунде	ЦЗ	83	Барселона	Сити
Кержаков	ВРТ	82	Зенит	Сити
Бовен	ПФА	81	Зенит	Сити
Плеа	ЦАП	80	Арсенал	Спартак
Распадори	ФРВ	79	Наполи	Спартак
Гиго	ЦЗ	78	Урал	Спартак
Заниоло	ФРВ	77	Астон Вилла	Спартак
Каштанов	ФРВ	77	Урал	Спартак
Холанд	ФРВ	90	Сити	Тоттенхэм
Неймар	ЛФА	87	Барселона	Тоттенхэм
Алип	ЦЗ	80	Зенит	Тоттенхэм
Ланг	ЛФА	78	Челси	Тоттенхэм
Пулишич	ПФА	79	Жирона	Урал
Заболотный	ФРВ	76	Цска	Урал
Кучаев	ЦАП	76	Цска	Урал
Кокшаров	ФРВ	75	Краснодар	Урал
Брабек	ЦЗ	74	Жирона	Урал
Манчини	ЦЗ	83	Рома	Фиорентина
Карсдорп	ПЗ	81	Рома	Фиорентина
Пакета	ЦАП	81	Рома	Фиорентина
Гризманн	ФРВ	80	Рома	Фиорентина
Кинтеро	ЦАП	77	Наполи	Фиорентина
Сане	ПФА	83	Бавария	Франкфурт
Нмеча	ФРВ	82	Вольфсбург	Франкфурт
Фирмино	ФРВ	82	Вольфсбург	Франкфурт
Миретти	ЦП	79	Ювентус	Франкфурт
Вега	ЛФА	78	Вольфсбург	Франкфурт
Кессие	ЦЗ	82	Боруссия М	Хоффенхайм
Хульманд	ЦП	80	Боруссия М	Хоффенхайм
Мукоко	ФРВ	75	Дортмунд	Хоффенхайм
Скамака	ФРВ	78	Бетис	Цска
Ангуло	ЦЗ	74	Жирона	Цска
Митома	ЛФА	82	Спартак	Челси
Куеллар	ЦОП	78	Бавария	Челси
Давсари	ЛП	77	Бавария	Челси
Микаутадзе	ФРВ	74	Ливерпуль	Челси
Вини	ЛФА	88	Милан	Ювентус
Одегаард	ЦАП	88	Арсенал	Ювентус
Трехо	ЦП	82	Зенит	Ювентус
Ито	ЛЗ	78	Крылья Советов	Ювентус
