Игрок	Клуб (из)	Клуб (в)
Влашич	Ювентус	Арсенал
Давид	Зенит	Арсенал
Гакпо	Астон Вилла	Арсенал
Кокчу	Лейпциг	Арсенал
Фомин	Зенит	Арсенал
Габриэль Жезус	Арсенал	Астон Вилла
Милитао	Реал	Астон Вилла
Кайседо	Челси	Астон Вилла
Гудмундсон	Урал	Астон Вилла
Альварез	Атлетико	Астон Вилла
Фраттези	Лацио	Аталанта
Хенри	Динамо	Аталанта
Дибала	Дортмунд	Атлетик
Рамос	Севилья	Атлетик
Виффер	Локомотив	Атлетик
Локо	Локомотив	Атлетик
Рикельме	Атлетико	Атлетик
Вальверде	Реал	Атлетико
Хофманн	Байер	Атлетико
Иско	Бетис	Атлетико
Додо	Фиорентина	Атлетико
Маммана	Наполи	Атлетико
Гнабри	Рома	Бавария
Стерлинг	Челси	Бавария
Угарте	Челси	Бавария
Пинеда	Милан	Бавария
Тиау	Милан	Бавария
Маэле	Вольфсбург	Байер
Ришарлисон	Мю	Байер
Гринвуд	Челси	Байер
Ливай Гарсия	Вольфсбург	Байер
Сон	Тоттенхэм	Барселона
Стоунз	Сити	Барселона
Торрейра	Атлетик	Барселона
Коне	Ньюкасл	Барселона
Алмада	Атлетико	Бетис
Эдвардс	Спартак	Бетис
Гомес	Ливерпуль	Бетис
Браганса	Ливерпуль	Бетис
Зюле	Дортмунд	Боруссия М
Шешко	Динамо	Боруссия М
Салай	Хоффенхайм	Боруссия М
Доку	Хоффенхайм	Боруссия М
Стах	Хоффенхайм	Боруссия М
Тюкавин	Реал Сосьедад	Боруссия М
Гримальдо	Байер	Вольфсбург
Исак	Ньюкасл	Вольфсбург
Барроу	Байер	Вольфсбург
Нету	Франкфурт	Вольфсбург
Дармиан	Интер	Динамо
Форсберг	Лейпциг	Динамо
Хатебур	Аталанта	Динамо
Адли	Жирона	Динамо
Муниаин	Атлетик	Дортмунд
Бардакджы	Локомотив	Дортмунд
Лаззари	Лацио	Дортмунд
Синистерра	Боруссия М	Дортмунд
Фелипе	Боруссия М	Дортмунд
Дембеле	Реал	Жирона
Ляказет	Краснодар	Жирона
Рюдигер	Реал	Жирона
Барнс	Милан	Жирона
Маркао	Спартак	Жирона
Ортега	Сити	Зенит
Виртц	Астон Вилла	Зенит
Толои	Тоттенхэм	Зенит
Мунетси	Урал	Зенит
Савио	Жирона	Зенит
Лападула	Урал	Зенит
Альварез	Динамо	Интер
Гедеш	Локомотив	Интер
Антони	Мю	Краснодар
Гирасси	Астон Вилла	Краснодар
Адингра	Цска	Краснодар
Глушенков	Локомотив	Краснодар
Мудрык	Цска	Краснодар
Барриос	Краснодар	Крылья Советов
Камбиасо	Ювентус	Крылья Советов
Довбык	Хоффенхайм	Крылья Советов
Аль-Мусрати	Барселона	Лацио
Джордан	Севилья	Лацио
Райерсон	Дортмунд	Лацио
Салах	Краснодар	Лацио
Купмайнерс	Аталанта	Лацио
Канте	Арсенал	Лейпциг
Карраскаль	Динамо	Лейпциг
Шик	Байер	Ливерпуль
Тюрам	Ньюкасл	Ливерпуль
Вейга	Астон Вилла	Ливерпуль
Висса	Барселона	Ливерпуль
Сабали	Бетис	Ливерпуль
Уоткинс	Интер	Локомотив
Жуниор	Краснодар	Локомотив
Риччи	Крылья Советов	Локомотив
Шарахили	Дортмунд	Локомотив
Колпани	Ньюкасл	Локомотив
Иманол	Атлетик	Локомотив
Кьеза	Ювентус	Милан
Мариу	Бавария	Милан
Айду	Бавария	Милан
Бето	Спартак	Милан
Бартра	Бетис	Милан
Маркиньос	Реал	Мю
Тьяго	Ливерпуль	Мю
Мухтар	Спартак	Мю
Кэш	Астон Вилла	Мю
Джонс	Ливерпуль	Мю
Марез	Челси	Наполи
Родри	Атлетико	Наполи
Кох	Франкфурт	Наполи
Политано	Фиорентина	Наполи
Калабрия	Милан	Наполи
Гюндоган	Барселона	Ньюкасл
Оярзабаль	Реал Сосьедад	Ньюкасл
Мармуш	Франкфурт	Ньюкасл
Дорли	Барселона	Ньюкасл
Осимен	Наполи	Реал
Варан	Мю	Реал
Агуэрд	Франкфурт	Реал
Ромариньо	Вольфсбург	Реал
Гиттенс	Динамо	Реал
Лукебакио	Севилья	Реал Сосьедад
Хулиан Альварез	Тоттенхэм	Реал Сосьедад
Амрабат	Мю	Реал Сосьедад
Перейра	Ньюкасл	Реал Сосьедад
Кудус	Тоттенхэм	Рома
Уналь	Фиорентина	Рома
Нуньез	Фиорентина	Рома
Эллиотт	Фиорентина	Рома
Станишич	Байер	Рома
Ди Мария	Реал Сосьедад	Севилья
Дардер	Лацио	Севилья
Йерай	Атлетик	Севилья
Гарначо	Мю	Севилья
Хаверц	Арсенал	Сити
Кванкара	Боруссия М	Сити
Кунде	Барселона	Сити
Кержаков	Зенит	Сити
Бовен	Зенит	Сити
Плеа	Арсенал	Спартак
Распадори	Наполи	Спартак
Гиго	Урал	Спартак
Заниоло	Астон Вилла	Спартак
Каштанов	Урал	Спартак
Холанд	Сити	Тоттенхэм
Неймар	Барселона	Тоттенхэм
Алип	Зенит	Тоттенхэм
Ланг	Челси	Тоттенхэм
Пулишич	Жирона	Урал
Заболотный	Цска	Урал
Кучаев	Цска	Урал
Кокшаров	Краснодар	Урал
Брабек	Жирона	Урал
Манчини	Рома	Фиорентина
Карсдорп	Рома	Фиорентина
Пакета	Рома	Фиорентина
Гризманн	Рома	Фиорентина
Кинтеро	Наполи	Фиорентина
Сане	Бавария	Франкфурт
Нмеча	Вольфсбург	Франкфурт
Фирмино	Вольфсбург	Франкфурт
Миретти	Ювентус	Франкфурт
Вега	Вольфсбург	Франкфурт
Кессие	Боруссия М	Хоффенхайм
Хульманд	Боруссия М	Хоффенхайм
Мукоко	Дортмунд	Хоффенхайм
Скамака	Бетис	Цска
Ангуло	Жирона	Цска
Митома	Спартак	Челси
Куеллар	Бавария	Челси
Давсари	Бавария	Челси
Микаутадзе	Ливерпуль	Челси
Вини	Милан	Ювентус
Одегаард	Арсенал	Ювентус
Трехо	Зенит	Ювентус
Ито	Крылья Советов	Ювентус
