Игрок	Клуб (из)	Клуб (в)
Берарди	Интер	Арсенал
Вендел	Реал Сосьедад	Арсенал
Иско	Атлетико	Астон Вилла
Адан	Ювентус	Астон Вилла
Дзаканьи	Дортмунд	Аталанта
Бакайоко	Хоффенхайм	Аталанта
Жиру	Жирона	Атлетико
Альварез	Астон Вилла	Атлетико
Пакета	Фиорентина	Бавария
Уналь	Рома	Бавария
Мариу	Милан	Байер
Нету	Вольфсбург	Байер
Ундав	Севилья	Барселона
Моффи	Ювентус	Барселона
Ляказет	Жирона	Бетис
Виффер	Атлетик	Бетис
Гулашчи	Лейпциг	Боруссия М
Судаков	Лейпциг	Боруссия М
Санчо	Наполи	Вольфсбург
Адингра	Краснодар	Динамо
Кирех	Арсенал	Динамо
Бето	Милан	Жирона
Дина Эбимбе	Франкфурт	Жирона
Бард	Барселона	Зенит
Витинья	Цска	Зенит
Данило	Локомотив	Зенит
Кессие	Хоффенхайм	Интер
Баумгартнер	Лейпциг	Интер
Ми	Спартак	Краснодар
Одои	Сити	Краснодар
Филлипс	Сити	Крылья Советов
Гордон	Ньюкасл	Крылья Советов
Миша	Интер	Лацио
Ливакович	Боруссия М	Лейпциг
Лукаку	Реал	Ливерпуль
Энцо	Челси	Ливерпуль
Огбу	Барселона	Локомотив
Чистяков	Зенит	Локомотив
Банза	Бавария	Милан
Сане	Франкфурт	Милан
Фекир	Челси	Мю
Гроб	Цска	Мю
Марсиаль	Мю	Наполи
Линдстром	Вольфсбург	Наполи
Гакпо	Арсенал	Ньюкасл
Диа	Тоттенхэм	Ньюкасл
Терье	Бетис	Реал
Цыганков	Наполи	Реал
Сангаре	Динамо	Реал Сосьедад
Франковски	Локомотив	Реал Сосьедад
Лукман	Аталанта	Севилья
Бробби	Атлетик	Севилья
Фернандес	Реал Сосьедад	Сити
Менди	Урал	Спартак
Патрик	Динамо	Спартак
Ди Мария	Севилья	Тоттенхэм
Уилсон	Ньюкасл	Тоттенхэм
Бабкин	Крылья Советов	Урал
Селихов	Спартак	Урал
Гюлер	Байер	Фиорентина
Сёюнджю	Атлетико	Фиорентина
Диоманде	Краснодар	Франкфурт
Диалло	Мю	Франкфурт
Бонджорно	Крылья Советов	Хоффенхайм
Баринов	Локомотив	Хоффенхайм
Билинг	Тоттенхэм	Цска
Лападула	Зенит	Цска
Рэмзи	Астон Вилла	Цска
Саванье	Урал	Челси
Юсуф Фофана	Реал	Челси
Торрес	Лацио	Ювентус
Бейси	Лацио	Ювентус
